Pavarde Vardas  ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egzaminas
Vasiliauskas Arnas 4 3 3 10 10 6 1 9 3 1 7
Petrauskas Benas 4 4 8 3 7 6 10 2 3 9 6
Vasiliauskas Titas 10 8 4 9 5 5 6 4 3 9 6
Petrauskas Arnas 8 9 8 2 7 1 2 5 3 6 7
Valantinas Paulius 4 5 9 2 5 4 5 3 10 5 4
ukauskas Mantas 10 3 1 10 9 2 5 1 5 1 10
Mikalauskas Vilius 8 4 1 10 6 3 2 1 8 7 1
Stankevi?ius Deividas 7 5 9 4 4 9 5 4 10 6 9
Vasiliauskas Benas 4 2 10 9 6 10 9 4 7 10 7
Kazlauskas Nojus 9 1 2 5 3 10 3 8 5 4 4
Jankauskas Dovydas 4 1 10 10 3 10 9 4 4 6 8
Sadauskas Arnas 10 9 8 7 1 5 7 5 1 9 5
Noreika Kajus 7 10 8 1 8 1 6 8 4 1 9
Giedraitis Andrius 5 8 7 3 4 5 5 4 5 5 1
ukauskas Paulius 2 10 9 7 9 1 8 5 6 2 8
Kazlauskas Nojus 9 2 2 3 10 8 3 1 2 3 9
Šimkus Arnas 1 6 8 2 10 9 5 8 5 5 4
Stankevi?ius Deividas 4 3 5 4 4 4 9 1 7 10 10
Giedraitis Vilius 10 7 5 5 10 9 5 8 6 2 6
?epas Martynas 1 4 1 6 9 5 8 9 6 9 2
Bacevi?ius Arnas 5 6 2 2 10 2 10 8 9 10 3
Petrauskas Titas 1 7 10 9 4 5 6 3 3 7 3
Sadauskas Jonas 5 10 7 5 6 5 10 1 1 7 10
Pocius Adomas 6 9 6 9 2 1 8 10 5 4 3
Stankevi?ius Tomas 2 7 10 5 6 6 6 6 10 9 7
Valantinas Laurynas 10 6 1 8 1 2 7 1 1 9 2
Sadauskas Tomas 10 10 4 6 5 1 9 4 9 9 3
Paulauskas Jonas 3 4 8 2 7 6 8 7 4 3 5
Sadauskas Jonas 8 3 5 8 5 9 3 10 6 7 8
Mikalauskas Dominykas 9 5 1 9 1 8 1 10 7 3 6
Giedraitis Kajus 4 8 8 2 3 9 7 10 3 4 1
Jankauskas Mantas 3 2 4 1 4 5 5 8 9 9 7
Kairys Benas 1 7 8 6 2 10 4 3 1 6 4
Paulauskas Vilius 3 1 4 4 4 1 9 1 9 3 8
Kavaliauskas Nojus 9 5 8 5 9 5 7 2 6 1 7
Šimkus Jonas 6 7 3 7 3 7 1 9 6 10 8
Jankauskas Deividas 1 5 2 5 2 2 10 7 10 5 2
Giedraitis Vilius 3 4 9 10 7 3 8 7 4 2 8
?epas Lukas 5 5 10 9 5 5 6 3 6 4 4
Šimkus Ignas 5 1 10 4 10 8 10 6 5 3 2
Kazlauskas Jonas 2 4 7 10 3 9 6 2 8 3 7
Bacevi?ius Kajus 9 5 5 8 6 2 10 6 7 4 8
Sadauskas Martynas 7 2 2 10 9 6 3 3 2 7 5
ukauskas Lukas 5 9 10 5 8 2 6 8 6 7 2
Šimkus Dovydas 7 7 9 10 6 2 4 10 3 4 4
Šimkus Lukas 3 2 2 4 6 8 4 8 6 3 7
Vasiliauskas Laurynas 5 4 4 6 7 4 4 10 1 2 2
Sadauskas Titas 6 3 7 3 4 8 6 3 7 3 1
Kavaliauskas Paulius 8 10 4 10 7 2 4 7 9 3 2
?epas Jonas 1 4 8 8 3 6 7 1 4 4 6
Mikalauskas Martynas 8 9 4 8 9 5 5 7 1 4 2
Stankevi?ius Deividas 1 2 5 8 9 5 9 3 1 5 10
Jankauskas Benas 5 5 6 4 7 4 9 5 2 6 8
Kavaliauskas Kajus 9 5 10 4 10 7 10 1 7 9 6
Bacevi?ius Martynas 6 8 5 5 9 1 8 10 3 1 4
?epas Adomas 3 1 5 3 10 6 9 4 10 3 9
Vasiliauskas Deividas 9 5 3 2 3 4 6 1 4 10 8
ukauskas Benas 9 5 2 4 6 2 5 2 9 6 5
Noreika Martynas 4 6 6 8 6 8 10 10 2 1 3
Kairys Dovydas 5 7 2 9 4 10 10 8 3 7 3
Pocius Nojus 3 10 8 3 6 3 2 5 9 9 8
Noreika Kajus 3 3 1 3 1 8 4 10 9 1 8
Kavaliauskas Dovydas 7 4 7 2 1 8 1 6 10 7 2
Paulauskas Martynas 10 4 3 2 4 9 7 4 1 3 1
ukauskas Kajus 1 2 10 4 9 4 9 8 10 8 2
Kavaliauskas Vilius 5 9 1 8 6 10 3 8 7 3 6
Sadauskas Dominykas 3 5 1 6 2 9 3 2 10 7 1
Bacevi?ius Laurynas 7 7 1 2 4 2 10 3 3 7 1
Mikalauskas Laurynas 5 9 7 2 6 7 4 10 2 9 1
Maeika Mantas 4 6 2 3 1 6 1 8 2 10 7
Kavaliauskas Lukas 7 6 10 10 4 8 8 2 10 1 9
Jankauskas Ignas 6 10 6 8 3 5 10 8 10 5 7
Šimkus Lukas 6 4 2 7 3 9 10 5 5 7 1
Valantinas Tomas 1 1 4 3 5 8 10 9 2 7 9
Stankevi?ius Benas 10 9 6 4 3 7 6 10 7 5 6
Giedraitis Laurynas 4 8 3 3 9 6 1 5 5 7 7
Kazlauskas Laurynas 6 5 4 2 9 2 2 10 4 10 1
Grigaitis Deividas 6 6 4 2 8 8 4 3 10 3 1
Kavaliauskas Dominykas 5 7 5 7 7 1 4 6 6 1 10
Pocius Laurynas 10 5 4 3 9 6 10 5 2 4 6
Giedraitis Laurynas 10 3 2 2 8 2 1 7 3 8 2
Grigaitis Mantas 5 3 1 10 5 7 9 9 2 3 9
Giedraitis Martynas 7 10 4 7 10 8 1 8 3 5 3
?epas Lukas 8 1 4 2 7 8 6 10 8 4 8
?epas Arnas 2 5 3 3 4 6 4 7 6 4 2
?epas Ignas 7 5 3 2 9 10 5 8 1 4 5
Valantinas Dovydas 2 2 7 8 9 5 2 7 9 5 8
Mikalauskas Lukas 4 1 5 5 9 9 8 10 8 10 10
Petrauskas Vilius 4 9 7 2 5 8 10 3 3 1 9
Noreika Dominykas 4 8 6 4 1 9 9 8 3 10 8
Stankevi?ius Arnas 8 9 3 9 10 2 5 6 8 5 7
?epas Andrius 10 4 5 1 3 8 8 8 6 6 6
Paulauskas Adomas 10 7 1 1 2 5 7 2 9 1 7
Bacevi?ius Andrius 6 10 2 10 2 10 5 1 4 8 10
Grigaitis Nojus 2 1 1 4 1 8 6 7 10 8 7
Kazlauskas Dominykas 1 7 9 3 7 7 3 1 5 6 7
Kavaliauskas Tomas 10 6 3 6 5 9 4 3 8 1 8
?epas Dovydas 7 5 1 2 3 9 2 4 10 9 8
ukauskas Jonas 2 10 9 4 5 2 2 9 6 8 4
Kavaliauskas Mantas 1 5 9 8 8 6 4 3 3 10 1
Maeika Lukas 8 5 10 2 3 4 1 2 8 8 6
Valantinas Vilius 3 3 3 4 3 1 6 5 7 5 6
Jankauskas Titas 1 10 9 8 1 5 4 10 2 7 2
Maeika Dovydas 9 7 2 2 7 3 8 3 8 5 10
Sadauskas Dovydas 7 6 4 9 2 6 6 5 10 5 8
Grigaitis Dominykas 4 6 6 8 1 4 2 5 8 5 10
ukauskas Laurynas 7 10 5 3 9 6 8 8 7 2 1
Kazlauskas Martynas 4 10 7 1 1 7 8 5 6 1 4
Kairys Dovydas 9 8 6 9 5 8 3 6 4 7 3
Sadauskas Arnas 5 4 7 1 4 4 8 7 7 2 3
Bacevi?ius Lukas 6 8 9 1 3 8 4 9 2 3 8
ukauskas Paulius 5 2 5 5 10 4 2 7 8 8 7
Kazlauskas Martynas 8 4 8 4 7 2 8 10 9 10 6
Giedraitis Lukas 9 6 8 9 8 2 4 9 8 3 5
Sadauskas Laurynas 7 1 3 5 3 1 9 2 6 9 10
Giedraitis Dominykas 7 6 4 3 5 6 6 6 10 10 10
Vasiliauskas Nojus 1 3 2 5 6 8 2 5 7 4 3
Grigaitis Deividas 6 3 1 9 5 10 3 7 10 1 1
?epas Kajus 7 9 10 2 2 1 9 3 6 9 2
Bacevi?ius Vilius 10 1 3 9 7 6 10 8 5 4 5
Sadauskas Ignas 2 6 7 2 7 4 2 2 1 9 4
Sadauskas Vilius 4 7 5 6 9 10 10 9 8 4 9
Giedraitis Vilius 5 2 6 9 8 3 9 9 4 7 5
Noreika Rokas 9 2 8 4 10 9 8 3 9 4 8
Valantinas Rokas 4 10 9 8 9 3 9 10 2 4 10
Šimkus Jonas 4 2 6 9 8 4 5 2 5 6 2
Grigaitis Adomas 7 10 10 8 10 8 3 4 4 1 2
Vasiliauskas Dovydas 2 2 2 10 3 7 2 8 2 2 3
Valantinas Laurynas 6 1 3 9 3 7 4 3 10 6 9
Kazlauskas Rokas 10 1 5 3 4 1 8 8 7 4 8
Paulauskas Jonas 6 8 2 3 9 6 8 3 6 10 1
Kazlauskas Jonas 6 6 10 5 6 4 6 10 4 10 6
Mikalauskas Martynas 9 9 3 3 2 2 1 3 2 4 10
Vasiliauskas Titas 1 10 10 7 9 5 9 7 7 1 8
Paulauskas Dominykas 3 3 2 6 5 1 8 10 5 7 5
Šimkus Jonas 7 1 9 7 8 2 6 4 7 1 1
Stankevi?ius Adomas 2 7 6 3 8 2 10 6 10 9 9
Kazlauskas Mantas 9 5 10 5 8 2 7 7 1 1 1
Giedraitis Deividas 1 2 9 3 1 2 10 10 2 3 2
ukauskas Adomas 2 1 6 9 4 8 7 3 2 8 9
Grigaitis Martynas 5 7 4 3 8 7 7 10 9 4 2
Noreika Dovydas 7 4 10 2 3 4 8 5 4 8 2
Jankauskas Kajus 4 9 5 7 8 7 7 10 4 8 2
Valantinas Andrius 7 1 9 2 1 10 9 7 3 5 4
Petrauskas Martynas 6 3 5 3 8 9 3 3 6 4 10
Kavaliauskas Lukas 6 5 1 9 2 1 8 7 2 2 3
Kairys Arnas 5 10 9 8 7 9 5 9 7 6 5
Grigaitis Martynas 8 3 6 6 9 7 5 4 5 9 1
Maeika Nojus 7 4 9 7 5 1 5 4 5 6 10
Grigaitis Adomas 7 8 4 1 9 9 6 5 9 8 4
Kazlauskas Mantas 1 8 3 5 3 2 8 6 9 1 9
Kairys Adomas 5 1 6 4 1 9 3 10 7 7 1
Petrauskas Arnas 4 10 3 7 9 6 3 7 6 7 9
Giedraitis Nojus 8 9 3 7 5 4 8 2 4 3 2
Petrauskas Kajus 3 4 7 8 3 1 6 3 10 1 1
Giedraitis Ignas 3 10 3 1 8 5 3 9 5 2 2
Noreika Benas 6 10 1 2 9 10 8 5 1 1 2
Jankauskas Nojus 7 2 1 1 7 9 6 5 3 3 10
Noreika Ignas 8 2 6 6 6 8 5 7 9 4 9
Kazlauskas Titas 10 5 4 7 6 4 5 2 10 4 5
Bacevi?ius Titas 8 2 8 1 5 8 7 10 4 7 3
Šimkus Arnas 7 3 8 5 8 10 5 1 9 2 6
Maeika Andrius 10 1 4 2 10 3 3 6 10 10 6
Kairys Ignas 4 5 10 7 1 7 4 10 3 2 9
Jankauskas Dovydas 10 7 2 2 4 5 8 2 4 7 7
Pocius Mantas 9 9 6 7 10 2 7 3 10 4 2
Giedraitis Lukas 2 5 9 7 2 6 8 10 9 8 6
Petrauskas Laurynas 10 5 10 8 4 3 9 9 8 2 9
Kazlauskas Rokas 10 3 4 9 5 10 10 10 2 7 10
Mikalauskas Mantas 6 1 2 10 4 1 1 6 7 7 4
Bacevi?ius Benas 9 9 9 9 6 6 9 2 8 6 1
Sadauskas Paulius 8 2 10 7 6 2 1 2 6 3 3
Vasiliauskas Lukas 3 6 2 6 3 9 2 6 10 7 10
Kazlauskas Laurynas 2 10 4 10 6 10 10 10 2 2 8
Kairys Nojus 7 1 1 6 1 8 6 7 8 8 7
Bacevi?ius Laurynas 9 2 2 4 3 3 4 8 6 8 1
Kazlauskas Tomas 5 10 1 10 9 1 5 1 6 2 3
Noreika Lukas 9 5 6 3 3 7 8 3 5 5 8
Bacevi?ius Nojus 9 10 4 9 3 9 10 5 10 5 5
Paulauskas Ignas 7 8 7 7 2 5 9 8 8 2 2
Pocius Ignas 1 2 4 4 1 10 6 4 2 8 6
Stankevi?ius Dominykas 2 7 3 2 10 4 2 4 4 8 4
Maeika Nojus 10 7 7 1 9 2 8 1 10 10 10
?epas Vilius 2 9 1 4 8 3 4 2 4 8 10
Maeika Titas 10 10 2 1 8 1 8 5 1 5 7
Petrauskas Dominykas 1 5 4 5 1 2 7 4 7 4 8
Pocius Paulius 7 8 8 1 3 3 4 1 8 9 5
Giedraitis Andrius 8 8 9 9 1 1 4 9 9 8 6
Jankauskas Benas 3 7 7 2 2 4 4 2 5 9 3
ukauskas Deividas 7 4 4 3 10 1 8 9 2 6 6
Pocius Deividas 8 1 1 4 2 9 9 4 9 2 8
Paulauskas Paulius 3 3 6 1 4 9 10 5 4 6 5
Vasiliauskas Deividas 7 5 7 2 7 1 9 8 9 4 9
Vasiliauskas Titas 2 5 4 5 8 1 10 1 3 8 4
?epas Titas 5 6 5 1 10 3 10 10 8 1 9
Stankevi?ius Titas 9 1 4 6 2 2 9 5 6 4 2
Bacevi?ius Mantas 8 7 3 8 6 6 10 4 2 5 3
Mikalauskas Andrius 8 7 3 1 7 4 3 7 2 8 4
Jankauskas Dominykas 4 3 10 1 3 5 9 7 5 4 2
Petrauskas Paulius 9 8 9 8 7 9 5 3 3 6 9
ukauskas Mantas 2 7 8 6 4 7 5 9 8 7 9
Šimkus Dovydas 6 2 5 8 5 2 4 2 9 9 7
Stankevi?ius Rokas 1 8 3 10 10 5 1 7 5 8 7
Vasiliauskas Tomas 4 8 7 4 9 6 1 7 8 9 1
Petrauskas Arnas 10 2 7 2 3 10 1 5 3 8 1
Noreika Dominykas 2 7 10 4 2 10 2 2 1 4 7
Šimkus Kajus 4 5 9 9 9 6 1 1 5 9 10
Šimkus Vilius 6 3 3 10 6 2 2 1 1 2 6
Vasiliauskas Jonas 4 2 6 9 4 4 1 1 6 6 4
Valantinas Ignas 4 4 9 1 10 10 1 3 5 2 8
Grigaitis Rokas 2 6 5 6 9 2 4 7 10 4 5
Noreika Tomas 2 1 4 3 1 8 2 6 2 7 2
Šimkus Dominykas 10 2 5 9 9 4 4 9 8 5 6
Šimkus Mantas 5 3 3 2 10 5 7 6 3 7 7
?epas Dominykas 7 5 5 7 4 5 1 1 6 10 3
Mikalauskas Jonas 7 3 6 10 6 6 1 6 3 5 5
Valantinas Rokas 9 5 10 4 2 5 2 3 5 6 6
Petrauskas Andrius 6 6 5 9 8 1 2 7 1 4 8
Jankauskas Laurynas 8 10 4 8 3 9 6 6 1 4 3
Vasiliauskas Mantas 6 1 8 3 10 5 3 1 4 2 8
Petrauskas Lukas 10 1 3 10 1 1 2 2 5 9 1
Grigaitis Rokas 7 6 2 5 1 2 10 2 1 9 6
Paulauskas Dovydas 4 10 4 8 7 7 9 5 3 5 1
Kairys Tomas 8 10 6 2 7 5 3 9 6 8 6
Grigaitis Tomas 1 5 2 5 2 7 1 9 3 7 5
Grigaitis Tomas 7 7 6 9 9 3 8 1 10 7 8
Giedraitis Adomas 3 5 8 5 7 2 4 4 9 8 7
Kavaliauskas Tomas 9 7 5 6 9 10 7 8 1 5 7
Paulauskas Vilius 6 1 3 4 5 7 9 1 8 3 5
Noreika Laurynas 6 3 3 5 1 1 8 1 8 1 7
Kazlauskas Benas 5 5 7 1 5 5 1 4 9 10 9
Kairys Nojus 9 5 5 9 7 2 1 6 8 9 7
Petrauskas Martynas 5 4 3 7 5 5 5 7 10 5 6
Šimkus Lukas 8 3 7 6 5 1 1 8 7 10 6
Bacevi?ius Titas 1 10 10 5 2 10 3 8 6 5 4
Valantinas Benas 4 10 1 6 5 3 3 7 3 6 1
ukauskas Titas 4 4 3 8 7 6 2 9 4 3 7
Maeika Jonas 6 8 8 5 2 6 7 8 4 7 10
Kairys Arnas 2 4 1 4 3 7 8 6 6 3 1
Giedraitis Lukas 3 5 2 4 3 5 2 9 9 7 3
Vasiliauskas Arnas 8 4 7 8 1 10 4 3 1 6 9
Šimkus Ignas 5 1 7 9 2 8 9 8 2 8 2
Stankevi?ius Tomas 10 7 7 10 4 5 6 2 10 8 3
Kazlauskas Dovydas 8 6 4 10 1 2 5 7 9 8 8
Kavaliauskas Benas 7 1 6 1 10 10 6 6 3 10 4
Mikalauskas Andrius 10 7 1 8 3 3 1 10 8 6 9
Giedraitis Titas 6 6 4 1 9 5 10 10 3 6 7
Pocius Deividas 2 6 2 5 5 3 1 2 6 6 5
Sadauskas Adomas 6 7 7 6 10 7 3 3 2 6 10
ukauskas Tomas 7 2 10 3 3 9 7 6 7 10 4
?epas Adomas 7 4 8 5 7 6 1 10 1 9 3
Šimkus Andrius 3 7 9 1 10 6 1 3 1 5 3
Jankauskas Rokas 8 3 10 6 7 2 10 9 5 5 5
Sadauskas Tomas 7 3 2 4 1 10 10 8 8 9 6
Kairys Vilius 9 5 10 7 3 10 1 4 3 5 10
Stankevi?ius Laurynas 10 2 1 9 6 4 8 4 5 6 8
Valantinas Deividas 8 5 10 2 9 3 3 1 5 6 5
Stankevi?ius Kajus 7 8 9 4 9 1 9 1 8 9 3
Paulauskas Kajus 1 3 5 2 1 9 1 4 1 7 6
Vasiliauskas Martynas 3 5 9 10 10 1 4 2 9 4 9
Jankauskas Titas 6 7 10 4 6 7 8 10 7 3 3
Kavaliauskas Mantas 2 9 8 5 9 1 10 7 5 10 1
Giedraitis Dovydas 3 2 6 8 4 8 5 8 6 2 6
Mikalauskas Tomas 8 5 2 1 4 6 9 8 6 6 10
Maeika Adomas 1 3 3 4 1 4 1 8 1 5 5
Valantinas Adomas 1 2 1 1 5 4 5 5 2 4 10
Maeika Dovydas 7 8 7 2 9 1 4 9 10 10 9
Šimkus Paulius 7 6 9 8 4 1 4 7 10 9 9
?epas Rokas 2 2 4 4 7 7 4 6 4 10 6
Pocius Ignas 1 4 9 6 3 7 3 4 9 4 2
Bacevi?ius Kajus 9 3 9 8 5 6 3 2 2 1 8
Valantinas Arnas 1 6 2 4 8 9 7 5 6 3 3
Kairys Kajus 1 4 10 7 1 8 4 9 10 8 5
Stankevi?ius Kajus 4 7 5 4 10 3 8 7 7 7 1
Bacevi?ius Rokas 7 2 3 5 6 2 2 10 3 3 9
Maeika Rokas 3 9 3 9 8 2 4 4 2 7 4
Kairys Deividas 8 1 2 2 9 3 4 6 10 7 2
Jankauskas Dominykas 6 4 10 5 7 2 4 5 9 4 4
Stankevi?ius Lukas 7 10 6 1 4 1 9 7 5 10 7
Šimkus Rokas 9 2 2 8 2 4 5 1 8 9 3
Kavaliauskas Rokas 5 10 3 5 5 9 3 7 7 1 7
Kairys Laurynas 1 10 10 5 9 2 1 7 10 6 7
Vasiliauskas Tomas 7 4 8 5 10 4 4 10 3 7 7
Kairys Nojus 2 5 4 10 9 6 6 2 6 3 5
Grigaitis Rokas 2 9 10 4 7 3 5 1 3 2 7
ukauskas Rokas 5 1 4 4 10 2 4 3 8 5 10
Stankevi?ius Dovydas 3 5 7 10 3 7 5 2 6 6 2
ukauskas Tomas 8 8 9 3 4 8 1 9 2 7 9
Grigaitis Vilius 10 10 9 10 1 6 4 5 6 2 3
Valantinas Arnas 2 4 7 7 3 7 3 8 3 5 9
Sadauskas Dovydas 5 6 8 3 1 3 6 4 10 2 1
Petrauskas Nojus 5 9 8 1 9 2 8 10 6 8 4
Bacevi?ius Tomas 10 8 6 2 7 5 3 8 10 2 10
Maeika Kajus 5 2 2 5 8 3 2 5 8 3 2
Mikalauskas Jonas 8 8 1 4 4 3 4 5 7 1 3
Jankauskas Andrius 9 9 10 8 10 9 8 4 10 3 7
Pocius Deividas 6 5 3 3 10 7 2 5 4 3 1
Stankevi?ius Dominykas 7 6 6 4 6 6 5 1 5 2 9
Pocius Kajus 9 3 6 7 4 1 4 3 2 3 1
Paulauskas Rokas 5 1 3 8 4 6 10 2 7 7 7
Giedraitis Dominykas 2 6 5 7 3 1 4 1 8 7 1
Stankevi?ius Dominykas 4 9 2 10 7 1 6 2 7 4 4
Kavaliauskas Deividas 1 10 10 4 3 4 7 10 8 9 4
Paulauskas Martynas 5 5 1 3 6 9 9 6 10 3 4
Bacevi?ius Andrius 5 6 6 8 2 4 2 1 6 9 5
Giedraitis Andrius 2 2 2 2 6 9 3 1 1 10 3
?epas Kajus 2 5 6 10 8 3 4 4 9 7 7
Jankauskas Arnas 5 9 6 3 10 2 6 5 3 9 10
Grigaitis Lukas 10 10 1 6 3 6 5 7 3 4 6
Petrauskas Mantas 2 3 7 9 1 3 10 8 6 1 9
Mikalauskas Rokas 4 3 8 3 6 10 1 6 10 9 8
Stankevi?ius Lukas 8 8 5 1 5 9 4 6 5 8 7
Giedraitis Paulius 10 10 2 2 8 8 10 1 9 8 3
Bacevi?ius Dovydas 8 9 6 5 10 3 5 3 6 5 9
Valantinas Titas 4 5 9 6 6 5 10 4 7 5 5
Noreika Andrius 1 3 10 6 9 3 8 1 1 1 9
Šimkus Dominykas 7 2 2 8 10 2 9 8 7 8 1
Paulauskas Andrius 4 5 5 10 3 4 4 8 2 5 10
Jankauskas Paulius 6 1 1 5 2 3 5 3 6 10 5
Pocius Dominykas 10 1 1 9 2 3 4 10 7 4 3
Paulauskas Rokas 5 1 3 8 4 7 7 7 9 3 5
Noreika Vilius 6 5 10 3 5 8 9 1 4 1 2
Valantinas Lukas 8 5 1 1 5 7 8 3 8 2 8
Giedraitis Andrius 4 1 1 5 7 3 1 9 6 4 10
Paulauskas Nojus 6 8 6 5 10 6 2 10 4 4 2
Maeika Benas 6 1 9 9 5 8 2 8 3 9 10
Petrauskas Vilius 7 3 4 7 3 8 2 9 4 8 6
Sadauskas Nojus 10 7 8 7 10 3 2 3 7 8 6
Noreika Nojus 5 9 4 3 1 5 2 9 6 7 2
Kavaliauskas Arnas 1 8 3 2 1 2 4 10 1 5 3
Grigaitis Lukas 3 10 6 4 5 7 5 6 3 6 6
Stankevi?ius Paulius 8 1 4 4 2 2 9 9 3 6 4
Valantinas Mantas 5 5 9 8 8 4 5 5 6 1 7
Mikalauskas Benas 1 7 10 2 1 1 3 2 1 5 5
Mikalauskas Ignas 2 8 7 5 5 1 3 1 3 10 4
Grigaitis Nojus 4 2 5 4 4 6 5 10 4 6 2
Mikalauskas Martynas 10 8 9 2 3 10 8 5 1 10 1
ukauskas Vilius 8 2 2 6 9 8 5 6 5 9 1
Mikalauskas Nojus 8 3 10 9 1 5 2 7 2 6 7
Paulauskas Deividas 5 6 10 6 2 6 3 2 5 5 5
Vasiliauskas Mantas 2 2 7 9 2 4 5 9 6 6 6
Noreika Adomas 4 10 10 2 10 10 5 8 4 2 7
Paulauskas Arnas 8 3 4 10 3 1 8 2 9 10 1
Valantinas Rokas 4 9 2 5 2 2 5 8 10 3 8
Stankevi?ius Lukas 9 6 4 10 8 10 7 2 10 6 2
Valantinas Lukas 5 7 3 1 10 2 6 7 1 1 7
Valantinas Kajus 7 4 4 1 4 6 3 4 6 8 8
Kairys Adomas 9 9 10 9 6 8 1 9 5 10 5
Kairys Kajus 9 9 7 1 10 3 6 2 9 9 1
Jankauskas Tomas 2 9 3 10 9 3 8 9 2 9 2
Bacevi?ius Ignas 5 1 4 4 6 10 1 9 6 7 10
Giedraitis Deividas 2 3 9 7 5 2 8 4 5 8 4
Bacevi?ius Laurynas 6 2 5 1 1 7 4 5 8 2 5
Kavaliauskas Ignas 6 10 7 6 3 10 2 10 1 2 8
?epas Laurynas 4 10 8 1 1 5 2 4 10 2 10
Bacevi?ius Kajus 2 3 2 7 5 8 3 7 6 6 4
Valantinas Deividas 4 9 2 10 2 8 6 2 1 5 8
Vasiliauskas Andrius 8 7 5 9 10 8 4 7 7 10 10
Bacevi?ius Mantas 3 4 5 3 3 7 8 1 9 7 10
Kairys Jonas 5 7 6 3 8 1 3 3 6 7 8
ukauskas Deividas 1 9 10 2 8 9 4 6 2 1 1
Pocius Dovydas 3 3 7 1 8 1 9 9 5 2 5
Vasiliauskas Titas 6 7 2 6 3 10 3 2 2 4 2
Sadauskas Dovydas 7 4 4 7 10 3 2 2 9 1 5
Pocius Tomas 10 9 4 3 1 8 2 4 8 9 3
Vasiliauskas Ignas 9 1 10 9 9 1 9 6 3 4 2
Noreika Titas 7 3 1 5 7 7 10 6 4 4 4
Paulauskas Vilius 9 3 5 10 2 10 7 5 4 10 5
Sadauskas Andrius 7 8 2 4 2 1 2 8 7 2 8
ukauskas Lukas 4 10 8 10 1 9 3 9 6 5 10
Stankevi?ius Dovydas 10 10 9 1 8 8 3 4 2 1 10
Mikalauskas Mantas 7 5 2 8 3 9 6 1 7 10 6
Mikalauskas Vilius 4 8 1 5 7 8 5 10 7 7 7
Kavaliauskas Adomas 10 5 2 5 2 4 8 3 3 1 1
Pocius Jonas 7 2 10 4 2 9 1 2 2 6 4
Paulauskas Kajus 2 6 9 8 8 4 9 9 4 10 10
Mikalauskas Vilius 3 4 8 2 7 1 7 7 7 9 8
Šimkus Vilius 5 3 3 8 4 6 8 7 5 8 1
?epas Laurynas 8 7 6 8 9 6 2 2 2 4 3
Paulauskas Tomas 7 3 7 5 10 10 4 3 8 3 9
Petrauskas Dominykas 5 8 2 7 9 8 2 6 1 1 2
Šimkus Nojus 7 7 1 2 7 5 2 9 5 9 6
Jankauskas Jonas 6 3 4 3 2 1 2 2 3 10 7
Valantinas Lukas 8 3 3 7 8 2 5 2 9 1 2
?epas Martynas 5 1 9 7 7 8 5 5 5 2 4
Šimkus Nojus 1 1 1 1 2 2 9 8 10 3 3
Vasiliauskas Laurynas 9 6 5 3 7 3 6 5 4 8 5
Jankauskas Paulius 5 2 8 3 1 4 9 3 2 6 3
Paulauskas Kajus 10 5 10 1 3 5 5 4 5 3 1
Giedraitis Kajus 9 3 5 5 6 10 3 6 10 1 3
Grigaitis Andrius 7 6 1 9 8 1 4 9 1 5 4
Bacevi?ius Titas 1 7 8 1 8 3 3 6 5 10 3
Bacevi?ius Kajus 6 2 10 8 9 10 3 5 6 2 7
Noreika Dovydas 2 8 7 3 7 9 7 5 1 6 1
Kavaliauskas Kajus 8 9 5 4 10 1 9 3 5 9 5
Šimkus Arnas 3 3 10 8 5 8 4 5 5 9 7
Mikalauskas Vilius 5 7 3 5 1 4 10 7 2 6 7
?epas Nojus 4 5 1 9 9 8 1 10 5 6 9
Grigaitis Ignas 1 1 6 7 10 2 2 4 5 8 5
Kazlauskas Martynas 5 10 6 7 4 10 10 10 4 4 9
Kavaliauskas Ignas 8 3 4 7 4 3 2 5 4 3 1
Kairys Kajus 5 3 8 7 3 2 2 1 6 8 9
Kazlauskas Adomas 4 6 6 3 9 10 6 3 3 5 2
Kavaliauskas Vilius 2 9 9 9 3 2 8 4 8 10 6
Kazlauskas Ignas 10 5 2 4 4 5 5 1 5 9 10
Petrauskas Andrius 5 5 3 9 1 6 1 6 1 8 3
Valantinas Deividas 3 4 7 6 10 4 2 7 10 10 7
Petrauskas Laurynas 1 9 5 4 5 2 4 9 4 7 8
Bacevi?ius Jonas 8 4 10 1 7 3 7 2 3 5 9
Kavaliauskas Titas 6 3 2 5 4 1 7 3 7 3 10
Grigaitis Dovydas 5 9 2 2 6 1 9 10 1 6 8
Kazlauskas Jonas 10 10 7 10 10 9 3 8 5 9 4
Kavaliauskas Titas 3 1 3 3 10 8 8 1 6 1 7
Sadauskas Arnas 5 2 2 7 9 7 5 9 6 6 10
Šimkus Jonas 6 3 2 4 9 8 3 6 1 1 2
Grigaitis Titas 6 9 2 5 6 2 6 6 10 3 5
Pocius Rokas 6 8 7 4 2 8 10 9 2 1 4
?epas Adomas 7 6 2 7 5 9 2 3 6 10 3
Petrauskas Lukas 9 2 2 2 2 10 2 6 7 10 2
Bacevi?ius Jonas 4 6 3 7 7 8 6 10 2 2 10
Sadauskas Andrius 10 3 7 5 7 9 9 1 7 7 3
Sadauskas Dovydas 10 9 8 8 6 3 3 7 4 4 7
