Pavarde        Vardas         Galutinis (Vid.)
Justinas       Sakalauskas        5.89
Arvydas        Sakalauskas        7.23
Aurimas        Dapkus             5.09
Antanas        Jasinskas          7.20
Saulius        Petraitis          5.97
Tomas          Vaitkus            6.83
Paulius        Norkus             7.69
Edgaras        Vaičiūnas          8.37
Paulius        Petrauskas         5.06
Deividas       Petraitis          5.83
Dominykas      Dapkus             6.57
Karolis        Vaitkus            6.20
Saulius        Navickas           5.03
Mindaugas      Norkus             8.63
Jonas          Navickas           6.23
Arnas          Urbonas            6.91
Paulius        Dapkus             7.37
Andrius        Jasinskas          6.09
Šarūnas        Šimkus             5.49
Mantas         Bagdonas           5.11
Gabrielius     Sakalauskas        8.26
Ignas          Butkus             6.74
Lukas          Balčiūnas          7.40
Antanas        Šimkus             5.83
Edgaras        Sabonis            6.66
Tomas          Balčiūnas          8.77
Vilius         Kairys             7.63
Ignas          Morkūnas           8.29
Vytautas       Paulauskas         5.23
Aurimas        Kairys             7.09
Deividas       Vaičiūnas          5.23
Giedrius       Kazlauskas         7.51
Dovydas        Žukauskas          7.63
Andrius        Kazlauskas         6.46
Karolis        Rutkauskas         8.86
Vytautas       Matulis            5.49
Tomas          Sabonis            5.26
Vytautas       Misevičius         7.89
Justinas       Morkūnas           5.54
Edgaras        Pocius             8.51
Deividas       Sakalauskas        8.17
Šarūnas        Sabonis            7.37
Antanas        Petraitis          7.03
Eimantas       Petrauskas         5.09
Vilius         Pocius             7.60
Deividas       Bagdonas           5.66
Mantas         Jankauskas         7.89
Rokas          Norkus             7.89
Deividas       Matulis            5.57
Eimantas       Pocius             7.31
Tomas          Vaitkus            6.46
Ignas          Morkūnas           5.40
Justinas       Paulauskas         6.97
Mantas         Paulauskas         6.20
Lukas          Urbonas            6.34
Rokas          Petraitis          7.03
Laurynas       Rutkauskas         5.40
Mindaugas      Navickas           5.03
Saulius        Navickas           5.17
Giedrius       Urbonas            6.03
Simonas        Juodka             6.40
Simonas        Petrauskas         5.63
Aurimas        Butkus             6.34
Aurimas        Navickas           6.06
Justinas       Butkus             8.06
Arnas          Balsys             8.46
Giedrius       Vaičiūnas          7.86
Mindaugas      Urbonas            5.91
Vilius         Petraitis          7.69
Paulius        Šimkus             7.03
Eimantas       Norkus             5.54
Eimantas       Juodka             6.83
Andrius        Jankauskas         5.37
Rokas          Jankauskas         7.89
Dominykas      Balčiūnas          7.89
Vytautas       Vaičiūnas          5.37
Andrius        Norkus             5.54
Ignas          Paulauskas         7.77
Giedrius       Sabonis            6.20
Mantas         Matulis            6.66
Mindaugas      Matulis            5.31
Ignas          Jankauskas         7.43
Gabrielius     Stankevičius       8.17
Šarūnas        Butkus             6.80
Mantas         Kairys             6.14
Antanas        Misevičius         6.29
Jonas          Vaitkus            7.14
Mantas         Rutkauskas         7.63
Mantas         Vaičiūnas          7.86
Gabrielius     Matulis            6.66
Vilius         Juodka             5.63
Edgaras        Paulauskas         7.74
Antanas        Petraitis          5.69
Andrius        Dapkus             5.43
Arnas          Paulauskas         7.80
Mindaugas      Dapkus             8.40
Dominykas      Bagdonas           5.60
Paulius        Jasinskas          8.09
Arnas          Balčiūnas          7.86
Vilius         Kairys             7.14
Deividas       Petraitis          5.26
Karolis        Žukauskas          5.63
Paulius        Vaitkus            7.80
Justinas       Pocius             6.83
Lukas          Juodka             7.97
Edgaras        Bagdonas           5.63
Paulius        Misevičius         8.03
Mantas         Vaitkus            5.23
Ignas          Jasinskas          6.63
Antanas        Petraitis          5.83
Justinas       Balsys             5.86
Jonas          Petrauskas         5.66
Jonas          Vaičiūnas          6.74
Giedrius       Šimkus             6.46
Justinas       Žukauskas          8.80
Tomas          Matulis            5.77
Martynas       Norkus             6.20
Simonas        Balsys             8.46
Mindaugas      Paulauskas         8.40
Andrius        Balsys             6.77
Mindaugas      Petrauskas         7.31
Mantas         Petrauskas         7.29
Arnas          Urbonas            7.31
Dovydas        Balčiūnas          8.51
Mindaugas      Kundrotas          7.14
Dominykas      Vaičiūnas          5.03
Laurynas       Kundrotas          8.00
Aurimas        Matulis            8.51
Vytautas       Navickas           7.43
Paulius        Navickas           6.26
Saulius        Zelvys             5.80
Gabrielius     Sabonis            7.54
Vilius         Urbonas            8.43
Arnas          Žukauskas          5.91
Mindaugas      Vaičiūnas          6.80
Justinas       Vaitkus            7.14
Antanas        Balsys             7.91
Justinas       Morkūnas           5.17
Aurimas        Šimkus             5.31
Simonas        Rutkauskas         5.51
Karolis        Žukauskas          5.51
Aurimas        Sakalauskas        5.54
Laurynas       Dapkus             5.60
Dovydas        Misevičius         5.23
Ernestas       Paulauskas         8.06
Eimantas       Jankauskas         6.40
Edgaras        Kundrotas          5.40
Tomas          Paulauskas         6.46
Arvydas        Sakalauskas        6.74
Simonas        Bagdonas           7.26
Giedrius       Juodka             6.49
Aurimas        Zelvys             7.89
Vilius         Matulis            5.17
Dovydas        Šimkus             8.20
Simonas        Vaičiūnas          5.40
Karolis        Žukauskas          7.63
Gabrielius     Pocius             6.49
Aurimas        Matulis            5.29
Tomas          Kazlauskas         6.37
Vytautas       Navickas           7.23
Paulius        Matulis            5.91
Justinas       Balsys             7.20
Karolis        Misevičius         7.94
Dovydas        Jasinskas          5.00
Jonas          Urbonas            7.63
Saulius        Pocius             7.17
Paulius        Jankauskas         5.34
Vilius         Kazlauskas         6.94
Saulius        Sabonis            6.49
Vytautas       Sabonis            8.97
Dominykas      Petraitis          5.94
Eimantas       Navickas           5.43
Ignas          Matulis            6.23
Arvydas        Matulis            6.51
Rokas          Šimkus             5.66
Lukas          Žukauskas          6.00
Arnas          Kundrotas          8.69
Rokas          Kundrotas          5.06
Ernestas       Juodka             5.37
Tomas          Sakalauskas        5.57
Giedrius       Butkus             7.23
Gabrielius     Šimkus             5.80
Dominykas      Pocius             6.91
Tomas          Butkus             6.37
Giedrius       Urbonas            7.80
Giedrius       Navickas           7.43
Dominykas      Petrauskas         5.97
Tomas          Balčiūnas          6.57
Saulius        Bagdonas           7.03
Arnas          Zelvys             7.11
Arvydas        Rutkauskas         5.11
Martynas       Bagdonas           6.09
Gabrielius     Jankauskas         5.83
Tomas          Vaičiūnas          5.34
Saulius        Pocius             7.97
Simonas        Dapkus             6.00
Giedrius       Jankauskas         7.69
Rokas          Sakalauskas        8.06
Tomas          Misevičius         7.91
Gabrielius     Jankauskas         5.09
Šarūnas        Petraitis          8.14
Ernestas       Balsys             6.29
Vytautas       Kundrotas          6.63
Karolis        Vaičiūnas          5.46
Ignas          Juodka             6.23
Gabrielius     Norkus             6.94
Dominykas      Morkūnas           7.83
Saulius        Kazlauskas         7.17
Deividas       Urbonas            6.43
Edgaras        Jankauskas         5.57
Arnas          Norkus             8.91
Karolis        Kazlauskas         5.74
Deividas       Paulauskas         5.86
Antanas        Šimkus             5.43
Karolis        Vaičiūnas          6.97
Šarūnas        Pocius             8.86
Jonas          Rutkauskas         7.51
Antanas        Bagdonas           6.54
Arvydas        Navickas           6.31
Simonas        Kairys             8.23
Gabrielius     Jankauskas         8.51
Mindaugas      Sakalauskas        6.11
Ignas          Vaitkus            6.97
Ernestas       Butkus             7.94
Lukas          Stankevičius       7.54
Arnas          Petrauskas         5.66
Arnas          Petraitis          8.63
Eimantas       Sakalauskas        5.46
Saulius        Pocius             7.06
Simonas        Petrauskas         6.71
Justinas       Norkus             5.74
Dominykas      Balčiūnas          8.06
Edgaras        Kundrotas          7.29
Arvydas        Bagdonas           6.54
Mindaugas      Norkus             6.89
Tomas          Balčiūnas          8.37
Saulius        Petraitis          7.74
Mindaugas      Navickas           7.40
Gabrielius     Balčiūnas          6.80
Saulius        Bagdonas           5.77
Saulius        Stankevičius       5.06
Ignas          Petrauskas         5.74
Eimantas       Juodka             7.94
Paulius        Kundrotas          6.14
Jonas          Misevičius         9.03
Arvydas        Urbonas            7.94
Eimantas       Vaičiūnas          5.17
Andrius        Kazlauskas         7.09
Paulius        Kazlauskas         6.40
Lukas          Petrauskas         6.23
Aurimas        Bagdonas           5.97
Aurimas        Navickas           7.43
Gabrielius     Misevičius         5.54
Giedrius       Butkus             6.89
Vytautas       Žukauskas          5.34
Arvydas        Kazlauskas         7.17
Vytautas       Sabonis            5.54
Laurynas       Paulauskas         7.83
Deividas       Morkūnas           6.69
Eimantas       Balčiūnas          7.97
Tomas          Sabonis            6.57
Deividas       Balčiūnas          6.20
Mantas         Rutkauskas         6.23
Martynas       Juodka             7.80
Antanas        Balsys             6.17
Aurimas        Balčiūnas          6.54
Mantas         Jankauskas         6.57
Arvydas        Dapkus             7.94
Laurynas       Navickas           6.63
Šarūnas        Butkus             6.17
Dovydas        Dapkus             5.54
Lukas          Misevičius         5.34
Laurynas       Stankevičius       5.51
Andrius        Rutkauskas         5.54
Arnas          Kairys             7.06
Rokas          Vaitkus            6.94
Aurimas        Pocius             7.34
Vilius         Urbonas            6.54
Eimantas       Juodka             6.20
Ernestas       Bagdonas           5.29
Vilius         Misevičius         7.20
Laurynas       Balsys             5.31
Gabrielius     Vaičiūnas          7.14
Arnas          Balčiūnas          6.43
Rokas          Stankevičius       7.40
Laurynas       Dapkus             8.06
Dominykas      Sakalauskas        5.11
Saulius        Misevičius         6.91
Arnas          Vaitkus            5.91
Ernestas       Kairys             5.94
Giedrius       Jankauskas         7.09
Šarūnas        Zelvys             7.57
Laurynas       Petraitis          6.60
Dovydas        Kazlauskas         8.86
Arvydas        Balsys             7.11
Antanas        Paulauskas         5.31
Arnas          Navickas           5.29
Aurimas        Rutkauskas         6.34
Mindaugas      Matulis            6.00
Karolis        Norkus             7.89
Karolis        Zelvys             7.34
Vilius         Šimkus             7.80
Edgaras        Butkus             5.57
Arvydas        Vaičiūnas          7.71
Ernestas       Butkus             7.00
Justinas       Zelvys             8.20
Simonas        Balsys             7.46
Rokas          Sakalauskas        6.60
Karolis        Šimkus             5.51
Lukas          Jankauskas         7.00
Jonas          Morkūnas           7.03
Rokas          Butkus             6.74
Deividas       Butkus             6.74
Giedrius       Kazlauskas         7.66
Tomas          Jankauskas         6.66
Simonas        Rutkauskas         8.06
Karolis        Pocius             7.06
Šarūnas        Juodka             8.29
Laurynas       Dapkus             6.66
Paulius        Rutkauskas         7.71
Mantas         Jankauskas         6.11
Saulius        Morkūnas           6.69
Lukas          Norkus             5.34
Andrius        Žukauskas          5.46
Arvydas        Jasinskas          5.14
Martynas       Zelvys             6.43
Saulius        Vaičiūnas          7.57
Karolis        Butkus             6.43
Eimantas       Butkus             5.09
Saulius        Jasinskas          6.49
Mindaugas      Urbonas            7.09
Dominykas      Matulis            6.29
Arnas          Vaitkus            7.63
Jonas          Norkus             6.31
Vytautas       Sabonis            5.57
Saulius        Zelvys             7.46
Laurynas       Rutkauskas         5.09
Dominykas      Šimkus             6.11
Deividas       Sakalauskas        7.80
Lukas          Norkus             8.37
Justinas       Sabonis            5.14
Giedrius       Petrauskas         5.54
Dovydas        Rutkauskas         6.29
Antanas        Rutkauskas         6.60
Ignas          Stankevičius       7.00
Dovydas        Sakalauskas        7.63
Antanas        Jasinskas          7.63
Laurynas       Misevičius         7.83
Simonas        Navickas           7.20
Andrius        Matulis            5.94
Šarūnas        Bagdonas           5.94
Vytautas       Navickas           6.00
Dovydas        Jasinskas          5.66
Simonas        Jankauskas         5.40
Simonas        Stankevičius       5.83
Giedrius       Sabonis            5.14
Arnas          Urbonas            6.69
Šarūnas        Pocius             7.54
Jonas          Kairys             6.49
Dominykas      Juodka             8.57
Edgaras        Petrauskas         8.20
Laurynas       Rutkauskas         8.03
Arnas          Balčiūnas          6.31
Ignas          Balsys             8.57
Paulius        Butkus             5.71
Jonas          Stankevičius       6.14
Justinas       Šimkus             7.31
Martynas       Sabonis            6.94
Dominykas      Butkus             5.66
Saulius        Šimkus             7.06
Mantas         Navickas           6.14
Ernestas       Butkus             6.91
Eimantas       Bagdonas           7.57
Saulius        Juodka             8.86
Arvydas        Sabonis            7.40
Tomas          Jankauskas         6.80
Giedrius       Misevičius         5.66
Mindaugas      Stankevičius       6.86
Andrius        Vaičiūnas          7.09
Justinas       Misevičius         5.66
Jonas          Jankauskas         7.69
Eimantas       Balčiūnas          7.77
Lukas          Paulauskas         7.14
Tomas          Balčiūnas          5.89
Giedrius       Jankauskas         6.26
Tomas          Petrauskas         5.97
Justinas       Stankevičius       5.57
Paulius        Petraitis          8.00
Justinas       Paulauskas         8.46
Simonas        Paulauskas         7.40
Ernestas       Navickas           5.94
Antanas        Juodka             6.37
Arvydas        Kazlauskas         5.43
Edgaras        Pocius             5.17
Edgaras        Urbonas            6.63
Vilius         Jankauskas         6.37
Laurynas       Sakalauskas        7.00
Rokas          Juodka             7.20
Martynas       Vaitkus            5.94
Deividas       Vaičiūnas          8.23
Saulius        Balčiūnas          7.97
Justinas       Matulis            7.29
Giedrius       Vaitkus            5.11
Laurynas       Misevičius         5.71
Martynas       Pocius             7.40
Laurynas       Morkūnas           8.40
Gabrielius     Šimkus             6.83
Mantas         Dapkus             5.63
Vytautas       Urbonas            5.09
Aurimas        Kundrotas          6.69
Ernestas       Matulis            5.60
Saulius        Norkus             5.60
Edgaras        Jasinskas          5.20
Jonas          Kundrotas          5.60
Ernestas       Morkūnas           8.09
Šarūnas        Jasinskas          5.54
Giedrius       Vaitkus            8.14
Ernestas       Vaitkus            5.51
Lukas          Žukauskas          8.57
Dovydas        Dapkus             5.40
Andrius        Vaičiūnas          5.69
Aurimas        Kundrotas          7.00
Edgaras        Juodka             5.54
Paulius        Dapkus             7.37
Rokas          Misevičius         7.29
Giedrius       Vaičiūnas          8.00
Mantas         Norkus             7.23
Gabrielius     Urbonas            5.46
Karolis        Jasinskas          7.71
Aurimas        Vaitkus            5.89
Andrius        Morkūnas           6.80
Edgaras        Morkūnas           5.46
Lukas          Juodka             5.43
Karolis        Sakalauskas        8.23
Saulius        Rutkauskas         8.17
Saulius        Balčiūnas          8.03
Dovydas        Petraitis          8.40
Ernestas       Kazlauskas         7.91
Edgaras        Sabonis            6.06
Saulius        Petraitis          5.11
Martynas       Bagdonas           5.63
Mantas         Pocius             7.43
Arnas          Norkus             7.23
Martynas       Petrauskas         5.77
Laurynas       Zelvys             5.11
Aurimas        Misevičius         7.80
Laurynas       Vaitkus            5.94
Justinas       Petrauskas         6.29
Jonas          Sakalauskas        6.14
Arvydas        Zelvys             6.83
Tomas          Juodka             6.74
Tomas          Vaičiūnas          7.97
Giedrius       Norkus             5.60
Tomas          Vaitkus            8.00
Antanas        Navickas           8.51
Simonas        Petrauskas         8.46
Ignas          Dapkus             6.40
Aurimas        Petraitis          7.37
Arnas          Matulis            6.37
Arvydas        Juodka             7.94
Rokas          Vaitkus            7.80
Andrius        Balčiūnas          6.97
Paulius        Urbonas            8.57
Martynas       Urbonas            5.80
Arnas          Kundrotas          6.37
Andrius        Paulauskas         7.63
Karolis        Kazlauskas         7.40
Simonas        Paulauskas         7.94
Gabrielius     Jasinskas          5.49
Tomas          Juodka             6.57
Jonas          Jankauskas         6.94
Antanas        Balčiūnas          7.49
Paulius        Vaitkus            6.57
Vilius         Sakalauskas        7.29
Deividas       Sabonis            7.74
Laurynas       Paulauskas         6.14
Lukas          Jasinskas          5.31
Rokas          Sakalauskas        7.17
Ignas          Matulis            5.71
Karolis        Vaičiūnas          7.57
Šarūnas        Kundrotas          8.14
Deividas       Vaitkus            8.51
Paulius        Petrauskas         7.46
Rokas          Petrauskas         5.14
Mindaugas      Balčiūnas          7.51
Dominykas      Dapkus             7.86
Eimantas       Paulauskas         9.14
Karolis        Vaitkus            5.86
Laurynas       Jankauskas         8.06
Gabrielius     Petrauskas         6.89
Aurimas        Kairys             5.20
Vytautas       Kairys             7.46
Eimantas       Misevičius         7.49
Arnas          Jasinskas          7.37
Vilius         Kazlauskas         6.66
Giedrius       Zelvys             5.37
Tomas          Zelvys             7.14
Justinas       Zelvys             5.83
Aurimas        Žukauskas          7.74
Tomas          Urbonas            5.29
Andrius        Kairys             6.83
Ignas          Butkus             8.00
Mantas         Petrauskas         6.20
Vytautas       Sakalauskas        6.63
Gabrielius     Bagdonas           6.77
Arvydas        Žukauskas          6.14
Karolis        Vaičiūnas          7.80
Andrius        Šimkus             5.66
Eimantas       Morkūnas           7.11
Tomas          Urbonas            5.89
Tomas          Butkus             5.26
Rokas          Pocius             5.57
Arvydas        Petraitis          6.17
Tomas          Navickas           7.69
Jonas          Urbonas            6.51
Simonas        Norkus             8.34
Arnas          Vaičiūnas          8.34
Dominykas      Šimkus             7.34
Laurynas       Navickas           7.40
Dovydas        Butkus             6.60
Arnas          Juodka             5.40
Ernestas       Petraitis          5.77
Martynas       Zelvys             7.26
Tomas          Misevičius         6.97
Vytautas       Paulauskas         7.97
Vytautas       Balsys             5.74
Paulius        Sakalauskas        5.94
Arnas          Žukauskas          5.14
Tomas          Kundrotas          7.49
Saulius        Jankauskas         6.83
Martynas       Stankevičius       7.91
Arnas          Jasinskas          7.71
Dovydas        Vaičiūnas          7.69
Karolis        Misevičius         7.46
Lukas          Šimkus             5.17
Saulius        Kundrotas          8.03
Justinas       Matulis            6.23
Saulius        Matulis            7.57
Tomas          Norkus             6.29
Mindaugas      Vaitkus            5.14
Justinas       Paulauskas         5.63
Vilius         Kundrotas          8.69
Šarūnas        Sabonis            6.57
Šarūnas        Bagdonas           8.34
Vytautas       Morkūnas           8.80
Eimantas       Rutkauskas         6.94
Dominykas      Kazlauskas         5.60
Šarūnas        Petrauskas         6.17
Šarūnas        Morkūnas           8.11
Simonas        Šimkus             7.43
Aurimas        Dapkus             5.11
Laurynas       Balsys             8.66
Andrius        Sabonis            5.51
Arnas          Sabonis            7.89
Vilius         Stankevičius       6.91
Jonas          Balsys             7.09
Dovydas        Juodka             6.26
Lukas          Jasinskas          5.20
Aurimas        Petrauskas         6.60
Dominykas      Matulis            6.97
Laurynas       Petraitis          6.71
Ignas          Kairys             5.63
Mantas         Sabonis            5.91
Paulius        Petraitis          6.09
Lukas          Jankauskas         8.17
Giedrius       Matulis            6.46
Šarūnas        Navickas           8.29
Antanas        Stankevičius       5.57
Lukas          Bagdonas           6.03
Mantas         Petrauskas         5.91
Vytautas       Jasinskas          5.00
Vilius         Rutkauskas         8.37
Vytautas       Morkūnas           5.14
Andrius        Kundrotas          6.66
Karolis        Petrauskas         5.06
Paulius        Navickas           8.06
Antanas        Vaitkus            5.69
Laurynas       Šimkus             5.97
Martynas       Balčiūnas          5.03
Saulius        Kundrotas          7.66
Simonas        Urbonas            5.69
Justinas       Petraitis          6.51
Laurynas       Juodka             7.80
Andrius        Vaičiūnas          6.60
Šarūnas        Petraitis          6.14
Paulius        Šimkus             6.14
Ernestas       Misevičius         5.00
Jonas          Kazlauskas         5.23
Saulius        Urbonas            6.20
Ignas          Žukauskas          7.86
Mindaugas      Matulis            7.06
Paulius        Kazlauskas         7.14
Ignas          Misevičius         5.94
Arnas          Dapkus             5.71
Paulius        Šimkus             6.83
Laurynas       Paulauskas         6.97
Deividas       Juodka             6.57
Saulius        Juodka             5.66
Dominykas      Jankauskas         8.17
Mindaugas      Navickas           5.43
Deividas       Petrauskas         8.80
Edgaras        Petrauskas         6.31
Giedrius       Paulauskas         7.63
Deividas       Bagdonas           5.37
Gabrielius     Urbonas            6.69
Justinas       Jasinskas          5.51
Giedrius       Jankauskas         7.86
Saulius        Matulis            6.20
Mantas         Sabonis            7.31
Andrius        Norkus             6.51
Tomas          Stankevičius       5.29
Ignas          Balsys             6.86
Tomas          Vaičiūnas          6.49
Dovydas        Misevičius         5.60
Giedrius       Zelvys             7.37
Paulius        Kazlauskas         7.83
Laurynas       Žukauskas          8.57
Antanas        Norkus             7.51
Lukas          Kairys             7.94
Rokas          Sabonis            6.00
Dominykas      Sakalauskas        6.54
Šarūnas        Kairys             8.17
Justinas       Kairys             7.91
Martynas       Stankevičius       5.03
Martynas       Dapkus             5.11
Justinas       Kairys             5.51
Dovydas        Dapkus             5.37
Jonas          Kazlauskas         5.83
Simonas        Zelvys             5.97
Simonas        Zelvys             6.60
Mindaugas      Balsys             7.97
Lukas          Norkus             9.03
Dominykas      Paulauskas         7.89
Lukas          Morkūnas           7.40
Deividas       Rutkauskas         8.69
Justinas       Zelvys             8.49
Arnas          Vaičiūnas          6.00
Andrius        Kundrotas          5.17
Saulius        Jasinskas          6.26
Eimantas       Sakalauskas        8.57
Aurimas        Žukauskas          8.09
Aurimas        Sakalauskas        8.40
Gabrielius     Norkus             5.43
Ernestas       Kairys             6.60
Gabrielius     Rutkauskas         6.23
Simonas        Žukauskas          7.80
Vytautas       Rutkauskas         7.31
Justinas       Zelvys             7.34
Karolis        Navickas           5.37
Karolis        Kazlauskas         7.26
Vytautas       Vaičiūnas          5.77
Tomas          Navickas           8.14
Gabrielius     Juodka             6.89
Andrius        Vaičiūnas          7.94
Jonas          Bagdonas           6.37
Mantas         Juodka             6.29
Mantas         Urbonas            6.54
Ignas          Kairys             7.71
Gabrielius     Sabonis            8.11
Justinas       Norkus             5.83
Rokas          Kairys             7.63
Lukas          Morkūnas           7.54
Vytautas       Jankauskas         7.63
Dominykas      Paulauskas         8.26
Edgaras        Norkus             7.20
Mantas         Matulis            5.69
Laurynas       Butkus             5.14
Šarūnas        Jankauskas         7.46
Paulius        Šimkus             7.23
Aurimas        Vaičiūnas          8.37
Karolis        Petrauskas         8.97
Ignas          Pocius             6.54
Eimantas       Sakalauskas        7.80
Eimantas       Vaičiūnas          5.69
Paulius        Vaitkus            5.66
Saulius        Navickas           6.54
Justinas       Stankevičius       8.40
Jonas          Kairys             7.57
Justinas       Pocius             6.80
Mindaugas      Šimkus             6.14
Mantas         Šimkus             7.77
Mindaugas      Kazlauskas         8.51
Karolis        Jankauskas         5.77
Ernestas       Butkus             5.49
Andrius        Butkus             5.86
Mindaugas      Šimkus             8.40
Andrius        Urbonas            7.74
Andrius        Pocius             6.51
Laurynas       Kairys             6.74
Aurimas        Rutkauskas         6.17
Dovydas        Juodka             5.26
Giedrius       Zelvys             5.63
Ernestas       Jankauskas         6.66
Paulius        Butkus             7.23
Eimantas       Misevičius         7.69
Jonas          Morkūnas           7.83
Rokas          Urbonas            5.11
Giedrius       Sabonis            5.37
Andrius        Dapkus             6.80
Saulius        Vaičiūnas          5.23
Aurimas        Žukauskas          7.23
Simonas        Zelvys             6.83
Simonas        Kairys             7.20
Antanas        Šimkus             5.23
Edgaras        Kairys             6.29
Antanas        Paulauskas         5.34
Gabrielius     Misevičius         7.51
Mantas         Balčiūnas          5.40
Edgaras        Balsys             6.91
Lukas          Sakalauskas        6.66
Justinas       Kairys             5.31
Karolis        Bagdonas           8.00
Andrius        Vaitkus            5.94
Arnas          Urbonas            6.17
Saulius        Dapkus             6.63
Saulius        Kazlauskas         6.14
Vytautas       Kazlauskas         7.60
Tomas          Jankauskas         6.37
Karolis        Paulauskas         7.29
Karolis        Pocius             5.97
Justinas       Norkus             7.91
Rokas          Vaitkus            7.00
Dominykas      Šimkus             6.46
Ignas          Zelvys             7.00
Šarūnas        Petraitis          5.74
Ignas          Vaitkus            6.49
Mantas         Šimkus             5.60
Edgaras        Petraitis          5.34
Edgaras        Paulauskas         8.11
Deividas       Jankauskas         5.23
Mantas         Balčiūnas          6.57
Tomas          Jankauskas         6.80
Saulius        Navickas           7.83
Tomas          Vaičiūnas          6.00
Martynas       Rutkauskas         6.09
Saulius        Paulauskas         7.26
Martynas       Dapkus             8.57
Lukas          Urbonas            6.17
Antanas        Paulauskas         6.54
Tomas          Kazlauskas         7.71
Deividas       Vaičiūnas          8.43
Dominykas      Pocius             7.37
Martynas       Kazlauskas         8.06
Antanas        Sakalauskas        8.63
Simonas        Sabonis            8.11
Aurimas        Balčiūnas          6.60
Giedrius       Morkūnas           6.31
Tomas          Urbonas            8.80
Rokas          Stankevičius       5.66
Edgaras        Jankauskas         7.34
Karolis        Pocius             7.37
Deividas       Juodka             7.11
Ignas          Sakalauskas        6.14
Karolis        Vaitkus            6.49
Paulius        Urbonas            7.34
Vytautas       Bagdonas           7.80
Arvydas        Stankevičius       5.20
Mindaugas      Sabonis            6.31
Lukas          Šimkus             6.09
Šarūnas        Šimkus             5.37
Lukas          Kazlauskas         5.11
Justinas       Kairys             6.09
Andrius        Šimkus             8.17
Arnas          Balsys             7.91
Tomas          Sakalauskas        7.63
Mindaugas      Vaičiūnas          7.17
Andrius        Balsys             5.57
Vilius         Jasinskas          8.23
Paulius        Kazlauskas         8.63
Mantas         Bagdonas           5.00
Karolis        Sabonis            5.26
Antanas        Stankevičius       7.20
Gabrielius     Jasinskas          6.09
Edgaras        Jankauskas         6.14
Vytautas       Sakalauskas        6.09
Šarūnas        Juodka             5.80
Tomas          Rutkauskas         5.46
Justinas       Vaičiūnas          6.57
Deividas       Dapkus             5.83
Martynas       Sakalauskas        7.40
Jonas          Matulis            5.60
Deividas       Balčiūnas          7.69
Simonas        Sabonis            7.51
Paulius        Balčiūnas          6.31
Deividas       Kundrotas          5.83
Antanas        Norkus             5.37
Rokas          Sabonis            7.71
Karolis        Kazlauskas         7.03
Mindaugas      Norkus             5.11
Aurimas        Šimkus             7.40
Vilius         Kazlauskas         6.66
Arvydas        Butkus             6.09
Paulius        Balčiūnas          9.43
Gabrielius     Pocius             7.23
Edgaras        Kazlauskas         6.54
Gabrielius     Butkus             6.09
Rokas          Bagdonas           6.29
Laurynas       Vaičiūnas          5.00
Arvydas        Petrauskas         8.20
Deividas       Matulis            6.80
Mantas         Misevičius         5.03
Ernestas       Kundrotas          7.80
Aurimas        Morkūnas           8.63
Karolis        Bagdonas           5.66
Laurynas       Sakalauskas        5.94
Karolis        Paulauskas         5.11
Arvydas        Vaičiūnas          7.29
Edgaras        Kazlauskas         6.26
Šarūnas        Sabonis            5.57
Deividas       Juodka             8.23
Aurimas        Matulis            5.66
Rokas          Butkus             5.17
Eimantas       Petrauskas         7.71
Antanas        Sakalauskas        5.31
Rokas          Butkus             5.83
Mindaugas      Jasinskas          5.89
Antanas        Šimkus             7.69
Dovydas        Bagdonas           6.80
Jonas          Bagdonas           5.86
Vilius         Dapkus             5.80
Tomas          Matulis            8.26
Dominykas      Matulis            7.74
Martynas       Stankevičius       7.26
Lukas          Norkus             7.17
Simonas        Jasinskas          8.09
Rokas          Zelvys             6.20
Saulius        Kundrotas          7.40
Antanas        Juodka             6.60
Paulius        Stankevičius       8.29
Šarūnas        Žukauskas          7.83
Tomas          Navickas           7.31
Laurynas       Jankauskas         5.86
Ignas          Jankauskas         7.60
Justinas       Misevičius         7.86
Ernestas       Navickas           7.26
Antanas        Bagdonas           8.40
Dovydas        Stankevičius       6.60
Šarūnas        Matulis            5.20
Martynas       Balčiūnas          8.11
Vytautas       Kazlauskas         8.34
Mantas         Urbonas            7.91
Dominykas      Petraitis          8.63
Paulius        Kundrotas          6.57
Simonas        Bagdonas           6.23
Arnas          Bagdonas           7.57
Ernestas       Petrauskas         6.23
Simonas        Stankevičius       6.66
Laurynas       Vaičiūnas          5.83
Šarūnas        Petrauskas         6.31
Gabrielius     Matulis            7.09
Justinas       Zelvys             5.37
Paulius        Stankevičius       5.86
Antanas        Navickas           5.14
Mantas         Juodka             6.80
Giedrius       Rutkauskas         5.37
Vytautas       Žukauskas          5.80
Giedrius       Juodka             6.29
Aurimas        Norkus             7.60
Mindaugas      Petraitis          5.66
Jonas          Navickas           5.83
Šarūnas        Paulauskas         8.26
Laurynas       Žukauskas          6.46
Vilius         Balsys             8.80
Dovydas        Matulis            8.97
Saulius        Petrauskas         7.63
Antanas        Juodka             7.51
Edgaras        Balčiūnas          6.74
Ignas          Petrauskas         8.77
Martynas       Sabonis            5.57
Vytautas       Pocius             7.60
Giedrius       Matulis            7.77
Vytautas       Dapkus             5.54
Jonas          Sabonis            5.23
Šarūnas        Kazlauskas         5.49
Vytautas       Juodka             7.97
