Vardas         Pavarde        Galurinis (Med.)
Šimkus         Laurynas           5.40
Šimkus         Laurynas           2.60
Šimkus         Laurynas           3.00
Šimkus         Lukas              7.20
Šimkus         Lukas              2.20
Šimkus         Lukas              7.20
Šimkus         Lukas              5.40
Šimkus         Lukas              4.60
Šimkus         Mantas             3.20
Šimkus         Mantas             9.00
Šimkus         Mantas             6.20
Šimkus         Mantas             6.20
Šimkus         Nojus              3.40
Šimkus         Paulius            7.80
Šimkus         Rokas              2.40
Šimkus         Rokas              3.80
Šimkus         Rokas              8.00
Šimkus         Titas              3.80
Šimkus         Titas              7.60
Šimkus         Titas              2.20
Šimkus         Tomas              5.00
Šimkus         Tomas              8.60
Šimkus         Tomas              4.40
Šimkus         Tomas              4.80
Šimkus         Tomas              5.20
Šimkus         Vilius             7.20
Žukauskas      Adomas             3.40
Žukauskas      Adomas             3.20
Žukauskas      Adomas             4.00
Žukauskas      Andrius            5.80
Žukauskas      Andrius            3.00
Žukauskas      Andrius            4.80
Žukauskas      Arnas              5.20
Žukauskas      Benas              8.80
Žukauskas      Benas              5.40
Žukauskas      Benas              5.00
Žukauskas      Dominykas          6.20
Žukauskas      Dominykas          5.20
Žukauskas      Dominykas          4.40
Žukauskas      Dovydas            3.80
Žukauskas      Dovydas            2.80
Žukauskas      Ignas              6.20
Žukauskas      Ignas              4.20
Žukauskas      Jonas              6.00
Žukauskas      Jonas              9.20
Žukauskas      Jonas              6.40
Žukauskas      Kajus              3.60
Žukauskas      Kajus              3.00
Žukauskas      Kajus              5.40
Žukauskas      Kajus              2.20
Žukauskas      Kajus              3.40
Žukauskas      Laurynas           6.60
Žukauskas      Mantas             6.00
Žukauskas      Mantas             7.20
Žukauskas      Martynas           3.80
Žukauskas      Nojus              5.20
Žukauskas      Nojus              7.20
Žukauskas      Paulius            7.80
Žukauskas      Paulius            7.60
Žukauskas      Paulius            4.80
Žukauskas      Rokas              5.80
Žukauskas      Rokas              4.80
Žukauskas      Rokas              8.80
Žukauskas      Rokas              4.80
Žukauskas      Titas              3.80
Žukauskas      Titas              6.20
Žukauskas      Tomas              7.20
Žukauskas      Tomas              6.60
Žukauskas      Vilius             5.40
Žukauskas      Vilius             3.20
Žukauskas      Vilius             4.40
