Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 ND15 Egz.
Eimantas Šimkus 2 2 4 7 3 3 10 3 2 7 10 10 5 1 9 4
Eimantas Pocius 6 10 7 10 3 3 1 5 3 8 8 2 8 1 5 5
Dominykas Vaitkus 1 3 5 7 4 5 9 8 10 3 3 2 9 7 10 10
Dominykas Navickas 6 5 8 2 2 9 7 7 5 3 3 9 4 10 4 9
Karolis Jasinskas 8 3 7 8 10 1 2 8 8 9 10 9 2 3 7 5
Giedrius Kundrotas 7 8 2 3 7 10 9 4 7 1 8 10 4 9 10 9
Simonas Dapkus 7 4 10 5 6 4 5 9 2 7 2 9 8 4 5 8
Karolis Šimkus 2 6 7 10 3 2 2 8 10 2 3 7 7 8 2 7
Aurimas Urbonas 8 10 4 8 6 8 10 3 6 10 3 6 1 3 7 1
Rokas Urbonas 2 2 2 5 1 7 7 1 7 8 7 6 5 3 10 5
Šarūnas Stankevičius 7 3 3 5 1 8 3 5 5 2 5 7 4 6 6 9
Giedrius Šimkus 8 9 3 1 3 5 6 10 2 5 3 7 7 7 2 7
Ernestas Petraitis 5 1 2 8 5 7 10 2 4 1 3 9 7 10 1 3
Andrius Misevičius 4 4 3 3 7 1 3 4 10 5 3 2 7 9 9 5
Deividas Jasinskas 7 2 9 1 2 4 9 9 3 10 3 10 10 1 1 4
Ernestas Rutkauskas 6 4 8 2 5 1 4 7 3 1 2 8 2 3 10 8
Ernestas Kairys 4 6 2 3 6 4 7 3 9 7 10 4 8 8 6 9
Deividas Vaitkus 5 10 3 2 1 9 7 8 3 9 9 2 7 2 8 4
Aurimas Matulis 6 1 9 9 5 2 10 3 2 7 7 6 2 4 9 4
Aurimas Balčiūnas 6 6 10 8 2 1 9 10 6 6 9 9 1 10 8 1
Laurynas Žukauskas 1 3 9 5 5 7 4 9 2 1 10 5 7 8 10 7
Mindaugas Misevičius 3 9 6 9 6 6 6 3 5 3 10 2 5 5 5 7
Tomas Juodka 2 2 10 4 3 3 2 4 10 2 7 3 2 5 1 1
Dovydas Stankevičius 4 4 7 9 2 5 2 8 3 1 7 9 6 3 7 4
Šarūnas Dapkus 10 4 7 9 8 4 3 2 2 4 5 7 3 9 10 10
Eimantas Sakalauskas 7 7 10 5 4 1 8 2 4 4 3 9 1 3 5 1
Dominykas Balčiūnas 5 6 7 5 3 7 8 6 9 1 3 10 6 1 9 9
Paulius Morkūnas 5 3 1 5 5 7 9 6 9 7 5 1 9 2 5 8
Andrius Balčiūnas 3 1 7 9 3 5 6 3 8 4 7 8 5 10 5 9
Paulius Balčiūnas 8 8 3 5 8 10 6 8 8 8 1 6 1 6 9 1
Vytautas Kundrotas 6 10 8 10 3 5 10 1 1 7 5 3 9 9 8 10
Eimantas Bagdonas 6 10 8 1 4 9 3 10 8 8 6 9 10 3 1 8
Jonas Petrauskas 10 9 6 4 10 8 10 10 9 7 6 7 6 4 7 10
Dominykas Petraitis 9 8 9 9 8 10 3 10 8 4 7 5 10 4 10 4
Dovydas Morkūnas 2 9 9 7 6 3 9 3 4 2 3 10 2 6 5 5
Edgaras Kazlauskas 9 6 3 3 4 3 10 2 1 8 3 7 9 7 8 8
Simonas Norkus 1 1 7 8 6 2 10 10 4 3 1 1 6 8 6 6
Paulius Pocius 5 10 4 2 10 4 1 7 3 2 1 3 4 5 6 3
Jonas Petraitis 2 5 9 7 6 10 9 5 7 3 1 8 1 5 2 7
Deividas Rutkauskas 2 4 5 4 6 5 8 5 3 10 1 1 7 5 3 3
Simonas Paulauskas 6 4 8 1 6 5 1 2 9 9 3 6 10 10 5 10
Šarūnas Pocius 9 2 6 6 5 8 4 1 6 4 5 1 10 10 2 3
Karolis Kundrotas 1 10 1 4 4 8 2 4 2 9 10 4 1 8 7 4
Dominykas Bagdonas 3 7 8 8 10 5 3 8 1 2 1 3 4 7 10 10
Ernestas Norkus 5 10 3 7 4 5 3 6 8 4 1 2 9 2 3 6
Simonas Butkus 1 6 7 10 6 4 2 4 6 6 4 10 2 10 4 3
Karolis Petrauskas 7 2 8 7 1 6 9 6 10 2 7 6 4 2 2 1
Aurimas Pocius 3 2 8 8 6 2 2 8 10 9 2 7 6 3 7 5
Rokas Kazlauskas 1 8 4 8 10 6 3 4 6 8 3 7 5 8 1 10
Dovydas Kazlauskas 6 5 3 7 5 7 8 9 6 10 5 10 9 2 7 5
Gabrielius Navickas 8 3 9 8 3 9 7 8 3 10 5 7 8 4 4 10
Ignas Dapkus 10 1 10 6 10 2 2 3 9 2 2 1 9 6 8 1
Vytautas Sabonis 7 5 4 6 3 5 3 8 5 7 4 2 6 6 8 5
Lukas Balsys 8 4 3 2 2 1 9 5 3 5 5 5 8 2 1 5
Šarūnas Paulauskas 9 10 5 9 2 10 4 4 3 1 9 3 5 5 10 2
Tomas Pocius 6 4 5 7 5 9 8 1 10 1 3 5 7 3 6 9
Rokas Navickas 10 5 10 10 1 3 2 2 10 5 9 5 4 9 10 5
Arnas Butkus 1 4 3 10 6 5 3 2 9 2 10 4 1 5 6 9
Rokas Žukauskas 2 4 7 5 1 3 3 3 3 1 1 5 1 8 4 6
Tomas Butkus 2 5 8 8 6 10 7 9 5 9 9 2 6 6 4 7
Dovydas Žukauskas 7 2 3 9 9 10 6 1 5 1 3 8 3 9 10 1
Karolis Balčiūnas 6 9 3 3 2 4 3 4 7 6 4 7 6 10 2 2
Rokas Jankauskas 5 10 8 10 9 7 7 9 6 8 1 5 4 10 3 8
Tomas Butkus 1 4 6 9 1 8 5 6 5 6 10 6 9 1 6 9
Jonas Juodka 2 4 4 6 8 9 6 8 3 1 10 8 5 10 7 8
Martynas Jasinskas 2 6 2 2 1 5 2 3 2 8 3 4 6 3 3 3
Karolis Žukauskas 7 4 7 10 9 9 5 9 7 6 7 9 10 7 6 4
Šarūnas Kazlauskas 3 10 9 9 1 4 5 3 10 7 7 9 5 10 1 1
Karolis Morkūnas 7 10 5 8 7 8 7 4 2 10 1 7 8 10 3 3
Lukas Zelvys 3 3 5 8 1 2 2 1 4 5 8 10 6 4 6 1
Jonas Matulis 7 9 6 2 3 6 1 1 2 8 9 4 3 4 4 4
Edgaras Matulis 1 1 10 9 10 7 9 6 9 5 8 6 3 4 4 10
Tomas Kundrotas 4 8 10 8 3 7 8 8 3 3 8 10 9 5 5 8
Andrius Rutkauskas 8 1 9 4 9 3 5 2 10 9 10 7 3 3 7 2
Laurynas Urbonas 6 7 9 7 9 6 7 7 8 9 10 8 7 5 6 2
Simonas Juodka 6 10 2 1 6 4 2 7 7 4 8 2 2 4 4 3
Mindaugas Sakalauskas 10 4 8 2 8 10 2 2 6 3 4 3 7 1 1 10
Paulius Vaitkus 10 6 8 3 7 7 2 6 5 4 2 5 9 1 1 8
Rokas Bagdonas 9 4 1 5 6 6 2 7 9 2 6 3 3 2 3 9
Rokas Jankauskas 7 1 9 6 10 7 3 8 2 7 8 9 4 6 1 10
Šarūnas Kazlauskas 6 6 5 10 5 6 4 2 6 4 7 7 6 3 1 4
Vilius Petraitis 9 9 9 5 9 4 4 5 2 9 9 8 4 3 7 5
Mindaugas Šimkus 8 9 8 4 1 4 6 5 7 10 5 5 4 3 5 1
Vytautas Kundrotas 9 3 6 4 6 8 2 9 7 9 5 6 1 9 3 2
Giedrius Jasinskas 6 6 1 10 5 7 8 5 9 3 8 5 4 8 3 9
Tomas Butkus 7 6 3 10 2 6 9 3 6 7 6 5 6 6 5 3
Šarūnas Dapkus 10 7 1 6 6 7 8 6 8 4 6 10 2 10 1 2
Tomas Bagdonas 9 5 6 3 5 5 2 3 2 8 5 5 1 2 6 4
Justinas Paulauskas 5 1 5 8 3 9 9 5 9 4 2 5 9 7 10 5
Antanas Balčiūnas 3 4 9 1 3 4 6 10 5 8 2 7 8 6 7 10
Giedrius Petrauskas 4 9 10 5 3 8 8 10 2 8 1 4 3 1 9 3
Lukas Jasinskas 5 4 10 8 4 8 3 1 8 8 8 2 9 8 8 1
Vilius Vaitkus 1 5 6 3 10 9 6 10 4 8 5 7 3 5 8 10
Arvydas Petrauskas 5 2 3 8 6 8 2 4 3 8 3 9 6 4 8 10
Ernestas Butkus 9 9 4 5 3 3 9 8 8 8 2 5 10 1 9 1
Ernestas Rutkauskas 7 4 4 5 7 1 3 7 3 9 1 2 3 3 3 10
Paulius Jankauskas 4 9 5 5 6 10 10 1 9 1 10 3 10 5 6 2
Edgaras Zelvys 9 1 2 6 4 6 5 6 3 3 8 7 7 4 1 4
Lukas Urbonas 4 10 3 2 4 5 9 6 1 6 2 2 2 9 2 8
Simonas Žukauskas 7 4 8 9 8 4 8 3 8 4 7 8 3 5 7 8
Karolis Šimkus 4 9 1 9 9 3 10 10 6 8 8 1 6 7 10 2
Gabrielius Morkūnas 7 2 3 7 10 1 5 7 8 9 5 1 1 2 3 5
Paulius Balčiūnas 8 2 9 6 6 1 10 1 6 3 9 9 5 5 9 9
Vilius Kazlauskas 6 9 2 10 10 3 5 7 4 10 6 2 7 7 2 4
Aurimas Bagdonas 2 7 6 8 9 10 8 4 3 2 2 10 9 3 6 9
Ernestas Kundrotas 6 1 3 5 3 4 1 10 10 1 5 9 8 10 5 8
Vytautas Kazlauskas 5 2 3 9 8 9 6 7 4 9 8 4 1 6 1 8
Giedrius Bagdonas 3 10 7 3 9 10 9 1 3 5 10 8 8 5 10 3
Justinas Balsys 4 2 4 3 8 3 9 2 6 2 4 2 7 7 9 3
Deividas Juodka 5 10 10 8 9 7 5 8 9 3 1 9 1 2 3 8
Dominykas Kundrotas 2 3 3 4 2 10 8 6 10 1 2 2 1 3 9 7
Ernestas Navickas 4 5 10 3 8 10 5 7 5 5 8 3 4 1 10 7
Giedrius Žukauskas 1 10 2 4 8 2 10 8 5 10 9 10 10 5 7 7
Šarūnas Norkus 5 4 3 2 9 2 2 8 5 4 1 10 6 2 1 7
Martynas Kairys 6 5 9 4 9 10 3 10 2 1 1 3 1 6 1 6
Rokas Šimkus 1 7 3 2 10 7 1 4 4 1 6 5 10 10 3 10
Giedrius Matulis 4 9 1 1 2 2 4 1 1 7 10 5 5 10 8 7
Mantas Kundrotas 2 10 6 1 3 7 9 9 4 7 6 9 4 10 1 1
Dovydas Balsys 10 8 9 8 10 8 7 7 2 7 3 6 10 3 5 8
Laurynas Pocius 5 3 10 4 2 6 9 1 9 1 1 1 5 4 6 6
Edgaras Petraitis 7 6 7 4 2 10 1 10 9 6 2 2 9 2 10 5
Arnas Pocius 2 2 1 10 3 6 10 6 8 10 6 3 9 2 2 3
Paulius Kairys 2 7 4 5 4 2 3 1 7 2 10 5 8 7 4 4
Aurimas Matulis 9 2 10 8 1 9 1 7 9 4 10 9 2 8 5 8
Saulius Jasinskas 4 2 4 10 2 10 5 6 1 1 8 8 2 7 6 5
Martynas Zelvys 8 8 8 1 3 6 2 5 4 10 2 2 4 1 6 4
Deividas Kundrotas 5 5 4 6 9 5 7 5 7 5 3 5 5 4 10 7
Jonas Jasinskas 5 1 7 3 4 6 9 10 9 2 10 2 9 6 5 7
Deividas Stankevičius 8 10 5 5 5 8 10 6 6 4 9 6 5 1 6 7
Ernestas Morkūnas 8 5 4 1 10 3 3 8 8 7 6 10 3 10 8 10
Arnas Žukauskas 4 1 6 9 2 7 7 3 10 5 3 4 10 6 6 8
Giedrius Balsys 5 5 2 6 5 6 5 1 6 2 8 10 8 7 3 8
Edgaras Jasinskas 1 9 3 6 6 8 8 8 2 5 1 3 4 2 5 1
Andrius Jankauskas 2 8 8 8 7 8 1 6 5 7 8 10 3 10 3 1
Arnas Misevičius 10 10 2 7 6 2 4 10 8 3 8 7 1 9 4 8
Rokas Vaičiūnas 9 9 2 1 10 10 2 10 1 4 9 9 4 10 8 4
Tomas Kazlauskas 7 4 4 8 3 6 5 2 4 10 1 1 3 5 2 10
Eimantas Kairys 9 10 9 1 5 8 7 5 10 3 5 8 5 7 9 5
Antanas Norkus 6 7 5 5 7 7 2 6 10 4 8 6 10 8 7 3
Vytautas Kazlauskas 7 3 9 2 1 2 10 8 6 8 9 8 2 7 2 5
Antanas Vaitkus 9 4 4 10 6 10 7 2 9 4 3 7 1 7 1 5
Dovydas Kairys 10 5 9 6 4 9 1 5 7 1 3 1 3 3 8 6
Vytautas Žukauskas 9 9 3 7 8 1 4 4 3 5 9 4 2 2 2 4
Ernestas Sabonis 2 2 8 3 8 2 5 2 2 6 3 3 9 10 9 7
Justinas Vaitkus 10 9 8 2 5 10 8 5 5 4 10 9 6 4 7 3
Arnas Pocius 9 5 10 1 2 2 3 2 5 10 8 8 7 9 5 10
Rokas Morkūnas 4 9 8 3 2 10 10 3 2 4 3 8 4 9 7 8
Lukas Morkūnas 3 7 3 1 5 9 7 7 3 6 4 3 7 7 6 2
Aurimas Kazlauskas 5 4 4 1 9 10 10 9 9 5 4 5 2 9 4 4
Paulius Kundrotas 10 9 7 8 2 8 3 6 7 6 9 1 1 8 5 4
Mindaugas Pocius 10 4 3 7 6 4 6 1 7 8 6 6 8 4 9 6
Laurynas Urbonas 4 9 1 10 5 5 5 7 9 1 1 1 2 4 3 2
Lukas Misevičius 1 4 9 6 8 4 7 10 4 9 7 8 2 9 7 5
Vilius Stankevičius 6 1 3 5 8 5 4 7 2 8 10 3 1 3 2 5
Mantas Morkūnas 10 4 1 9 7 10 5 9 3 10 2 8 4 4 9 4
Vytautas Misevičius 5 8 4 4 10 4 2 7 6 7 9 8 2 2 6 2
Saulius Dapkus 3 1 6 6 10 2 8 4 3 3 6 4 5 6 7 8
Laurynas Balsys 9 10 8 10 3 10 4 5 6 6 7 3 2 10 2 5
Edgaras Morkūnas 3 7 2 3 2 4 7 3 3 10 8 4 7 9 5 7
Dominykas Bagdonas 9 2 10 6 10 9 6 6 4 4 9 1 7 2 2 4
Andrius Jasinskas 9 8 3 4 6 10 10 1 1 9 5 3 1 8 8 10
Giedrius Misevičius 2 5 10 5 4 6 7 10 7 1 7 9 10 8 10 6
Mindaugas Šimkus 1 3 4 7 1 5 1 1 3 3 2 9 2 4 7 5
Saulius Jasinskas 7 3 10 3 10 5 4 4 7 10 1 5 4 1 1 7
Giedrius Dapkus 10 3 7 10 6 9 10 7 9 10 2 4 1 10 5 2
Lukas Vaičiūnas 9 4 3 8 7 5 7 6 2 6 3 1 4 1 1 2
Arnas Jasinskas 5 3 7 10 10 6 4 5 5 10 4 9 10 6 8 6
Vilius Juodka 3 2 9 7 7 4 9 7 2 10 3 7 8 2 5 6
Eimantas Šimkus 4 4 9 2 8 9 3 8 3 10 10 4 2 10 2 3
Edgaras Jasinskas 2 2 10 2 9 3 3 6 9 7 7 3 3 6 4 6
Arvydas Petraitis 4 3 6 8 1 5 10 2 2 7 2 7 2 10 2 10
Lukas Pocius 3 5 10 9 8 6 4 1 8 5 5 1 2 4 8 8
Eimantas Stankevičius 10 7 10 4 5 8 6 6 9 9 6 10 9 1 8 10
Aurimas Butkus 4 6 9 5 7 3 5 4 5 2 9 4 2 6 9 4
Gabrielius Bagdonas 1 4 5 8 3 5 2 8 1 2 2 1 7 6 2 4
Vilius Bagdonas 10 1 9 10 10 6 8 5 1 8 8 9 1 9 2 2
Simonas Petrauskas 3 7 3 8 3 1 1 10 3 1 2 10 5 4 6 9
Aurimas Urbonas 5 1 1 1 4 6 9 5 5 5 3 2 8 10 9 1
Deividas Navickas 1 10 4 9 3 7 7 3 10 7 3 2 7 6 8 10
Arnas Vaitkus 8 8 9 1 8 2 1 3 2 5 8 4 10 1 9 9
Ignas Zelvys 4 3 2 7 1 5 2 6 8 3 6 2 6 6 2 10
Martynas Jankauskas 5 6 7 4 4 1 6 5 8 6 9 10 9 5 7 10
Karolis Sabonis 4 4 6 8 4 5 10 1 4 4 4 6 4 10 4 6
Jonas Bagdonas 4 3 5 1 2 10 6 10 4 5 9 7 5 2 4 6
Edgaras Jasinskas 2 8 7 9 9 9 5 7 4 8 10 2 9 3 3 4
Edgaras Stankevičius 9 2 3 5 8 4 4 6 6 3 1 8 9 1 7 4
Eimantas Petrauskas 1 10 3 1 10 5 2 2 6 4 9 5 6 3 8 5
Lukas Jankauskas 1 2 7 6 4 9 8 1 8 3 7 6 9 8 9 6
Justinas Balsys 6 9 2 1 6 8 5 9 6 6 5 9 1 9 3 7
Mindaugas Stankevičius 5 6 1 3 6 9 5 10 5 9 10 1 8 5 4 8
Dominykas Kazlauskas 6 8 7 5 10 9 1 10 7 5 8 6 1 1 8 4
Šarūnas Jasinskas 9 1 1 3 9 7 1 5 3 6 2 2 10 2 1 3
Laurynas Navickas 2 10 5 6 8 7 10 1 3 8 2 9 8 3 9 7
Arvydas Urbonas 6 1 7 7 3 6 4 3 6 8 1 2 7 3 5 6
Vilius Pocius 2 6 2 2 10 7 6 10 8 8 5 10 8 6 3 9
Vilius Navickas 6 4 8 4 9 3 2 2 4 3 8 3 9 9 8 3
Mindaugas Misevičius 5 6 6 10 3 6 7 5 7 10 4 5 8 6 3 10
Gabrielius Kairys 9 5 2 3 10 1 6 8 6 9 6 1 3 1 6 7
Edgaras Balsys 6 3 6 1 4 2 1 8 2 2 9 4 5 9 9 2
Aurimas Pocius 2 6 1 8 5 2 10 8 6 1 7 8 4 2 1 10
Rokas Stankevičius 3 6 4 4 6 9 6 1 3 2 7 2 3 8 9 1
Gabrielius Dapkus 5 10 7 8 10 8 10 7 3 10 3 6 8 6 4 4
Simonas Jankauskas 8 2 6 10 2 7 5 4 3 7 1 2 5 8 3 9
Arnas Pocius 7 1 3 6 1 9 1 6 4 6 5 4 9 3 4 3
Jonas Norkus 7 8 4 1 9 5 4 3 7 7 3 9 4 1 9 10
Vilius Petrauskas 4 1 1 10 3 4 8 9 4 9 9 6 3 6 1 3
Paulius Balčiūnas 6 10 9 6 1 3 3 6 1 7 2 10 7 2 6 6
Gabrielius Jasinskas 6 1 5 6 8 10 6 4 7 2 7 4 9 4 3 9
Jonas Pocius 4 3 5 9 5 7 2 10 9 9 6 9 6 7 4 6
Gabrielius Jasinskas 4 9 7 9 8 9 9 7 8 8 3 8 9 3 3 2
Gabrielius Žukauskas 6 6 9 5 7 5 8 1 6 1 10 4 7 1 3 4
Andrius Kundrotas 10 9 7 1 8 9 9 5 6 6 2 8 6 4 8 2
Aurimas Balčiūnas 8 9 6 7 5 2 3 2 9 4 10 6 5 2 8 4
Vytautas Rutkauskas 2 3 5 2 8 7 7 3 8 7 4 9 2 2 3 6
Vilius Šimkus 1 4 9 1 8 1 4 7 1 8 10 3 5 3 5 2
Edgaras Kundrotas 2 8 2 7 1 3 8 6 7 3 5 5 7 9 9 10
Saulius Stankevičius 10 5 8 5 4 6 4 3 1 10 7 5 1 2 5 4
Aurimas Kazlauskas 7 2 3 5 3 10 8 1 6 1 9 7 6 6 1 4
Rokas Balsys 1 4 5 8 9 10 8 9 1 8 8 7 7 2 1 4
Laurynas Jasinskas 6 10 2 7 5 9 5 1 4 8 4 6 10 9 7 9
Vytautas Balčiūnas 3 5 5 9 2 9 6 10 9 3 3 8 4 6 6 10
Antanas Kundrotas 7 2 1 9 7 3 4 3 8 8 7 4 7 1 10 1
Martynas Kazlauskas 7 7 8 7 5 8 7 4 7 4 7 5 3 5 8 2
Saulius Pocius 3 10 1 1 2 3 8 6 6 8 2 6 10 6 4 1
Deividas Balsys 8 3 7 5 7 1 5 8 5 5 4 2 6 5 9 6
Laurynas Vaitkus 9 3 9 9 2 7 4 1 5 3 5 7 8 1 9 4
Ignas Bagdonas 5 4 8 10 6 9 9 3 2 2 5 5 3 9 6 1
Tomas Matulis 5 6 7 10 3 6 4 7 7 10 2 4 7 10 7 9
Vilius Misevičius 9 2 10 3 2 6 4 4 7 3 6 9 5 10 9 2
Laurynas Kazlauskas 7 7 9 8 8 10 9 5 2 6 4 6 10 9 1 1
Andrius Navickas 10 8 7 10 9 10 9 5 8 9 1 10 4 1 2 5
Mindaugas Juodka 3 9 8 6 7 5 2 6 9 2 6 9 8 5 10 3
Mantas Matulis 7 9 2 2 6 7 7 3 2 3 1 2 1 1 9 9
Edgaras Pocius 10 10 2 4 2 6 4 1 3 7 1 9 7 10 8 10
Dovydas Žukauskas 4 8 6 5 3 8 1 10 9 2 9 8 3 7 10 8
Laurynas Rutkauskas 2 9 9 2 9 1 10 4 5 10 9 4 6 1 3 3
Arnas Matulis 1 4 5 5 6 9 7 7 1 2 1 6 6 2 6 4
Mantas Juodka 4 9 3 2 10 4 10 5 8 5 5 6 8 1 9 4
Dovydas Jankauskas 8 6 2 7 2 1 7 8 4 10 8 5 9 8 5 8
Karolis Sabonis 7 10 2 9 4 5 10 6 6 4 3 10 9 10 4 6
Dovydas Šimkus 7 10 3 4 1 1 6 10 2 5 1 1 6 8 8 2
Ernestas Balsys 7 4 5 4 9 8 7 1 3 3 8 8 6 3 5 2
Antanas Zelvys 8 5 10 5 6 1 6 4 9 2 8 5 7 6 7 1
Arnas Zelvys 9 3 10 5 4 3 3 6 6 5 2 8 6 9 3 5
Laurynas Kazlauskas 1 6 7 8 10 4 10 5 7 3 2 1 7 3 6 4
Mantas Kundrotas 1 2 4 8 4 3 4 2 2 9 5 8 2 5 5 10
Edgaras Stankevičius 8 9 6 6 8 3 5 9 4 10 4 3 8 10 4 1
Deividas Vaičiūnas 5 2 8 10 7 2 4 9 10 6 10 2 2 7 2 5
Mindaugas Rutkauskas 2 3 3 8 1 5 10 10 7 8 6 1 8 8 6 8
Paulius Misevičius 10 6 5 10 5 8 8 3 8 10 4 1 5 3 1 5
Karolis Balsys 1 6 6 5 4 4 6 2 9 10 4 6 9 1 7 9
Deividas Butkus 5 4 5 4 5 5 4 10 1 10 8 5 7 4 5 1
Eimantas Dapkus 1 3 5 10 3 4 2 7 8 9 9 6 3 6 7 4
Vytautas Rutkauskas 6 5 6 6 4 3 2 5 8 4 4 2 1 9 7 6
Justinas Stankevičius 2 1 8 4 6 5 2 2 6 5 10 3 10 3 2 4
Rokas Sakalauskas 3 1 5 7 1 3 5 2 4 7 4 2 10 3 5 4
Simonas Kundrotas 2 7 1 4 5 1 1 6 3 9 10 1 6 8 5 7
Arnas Šimkus 9 10 7 8 9 4 2 6 1 2 2 2 4 7 3 2
Karolis Sakalauskas 1 9 4 7 9 1 1 4 9 3 6 6 7 7 3 1
Justinas Vaitkus 3 10 5 8 6 9 8 7 4 2 4 8 5 1 7 1
Martynas Norkus 8 5 1 3 9 6 7 4 7 9 3 2 2 5 5 9
Martynas Zelvys 2 8 8 6 3 10 1 9 2 1 9 2 2 5 6 1
Mindaugas Žukauskas 5 5 4 2 10 8 4 7 4 4 9 8 6 9 7 4
Arvydas Dapkus 10 5 2 1 3 8 6 10 6 6 9 5 10 7 3 10
Paulius Kundrotas 10 5 4 7 1 6 8 2 5 7 9 1 10 10 1 9
Jonas Paulauskas 6 9 2 7 2 7 9 9 1 4 2 5 6 3 9 7
Mindaugas Šimkus 7 9 8 8 8 3 7 3 5 10 8 1 4 4 2 2
Arnas Kairys 10 8 4 5 4 1 7 4 10 1 1 5 6 9 2 4
Justinas Vaičiūnas 8 3 9 8 8 5 8 7 8 1 8 6 3 7 1 9
Deividas Kundrotas 3 10 6 8 8 3 5 8 8 3 1 5 10 8 9 10
Ignas Navickas 2 9 5 2 1 8 4 3 2 7 7 1 7 3 4 4
Justinas Petraitis 8 10 10 6 10 2 1 1 8 2 5 7 8 6 3 4
Andrius Butkus 2 1 4 6 2 1 5 1 3 8 3 9 6 9 2 7
Arvydas Sabonis 5 1 10 7 9 3 10 6 5 6 5 6 5 2 1 2
Tomas Vaičiūnas 10 8 8 9 6 1 10 7 2 4 2 1 5 8 4 9
Andrius Bagdonas 3 1 6 5 1 2 3 2 6 7 5 9 6 5 5 6
Ernestas Jasinskas 2 5 10 3 4 3 3 4 3 6 5 9 9 4 1 7
Laurynas Balsys 6 6 10 1 8 7 4 9 9 6 8 9 3 10 9 5
Aurimas Zelvys 5 1 8 6 7 9 8 5 1 3 4 5 9 10 6 3
Dominykas Bagdonas 2 8 8 7 6 6 10 3 8 3 10 3 1 5 10 1
Edgaras Jasinskas 5 10 1 7 8 2 3 6 6 10 1 3 7 5 4 7
Gabrielius Pocius 4 8 6 5 1 6 1 6 5 4 4 3 3 4 2 4
Ignas Matulis 2 3 2 1 1 2 10 7 7 7 6 10 7 6 6 3
Arnas Urbonas 2 3 7 8 3 9 8 8 8 6 5 1 6 6 2 4
Ernestas Juodka 10 8 10 6 7 8 5 10 8 4 8 7 2 4 9 8
Jonas Stankevičius 8 5 10 8 4 9 3 1 10 8 3 4 4 1 1 4
Arvydas Sabonis 1 10 6 5 9 4 2 2 1 1 2 3 9 1 7 1
Justinas Matulis 9 4 8 2 3 1 2 7 4 4 2 1 8 1 3 3
Šarūnas Kazlauskas 1 2 7 7 10 9 7 3 2 4 8 2 7 6 2 5
Ignas Balčiūnas 2 9 4 1 1 4 8 5 4 8 8 6 8 7 6 4
Martynas Morkūnas 10 8 6 5 2 3 7 2 10 3 1 3 4 9 5 4
Gabrielius Petrauskas 1 8 2 4 5 2 9 6 5 2 1 5 7 7 10 7
Vilius Šimkus 8 6 3 1 9 2 3 9 6 9 10 7 5 3 4 5
Andrius Stankevičius 2 8 5 2 6 6 8 8 3 3 6 8 9 8 4 3
Laurynas Norkus 3 5 6 8 5 8 3 8 7 1 2 8 6 4 4 7
Aurimas Dapkus 7 2 5 3 2 2 6 3 2 1 1 9 2 8 1 2
Deividas Kundrotas 5 5 1 2 3 2 8 3 6 3 6 3 9 10 2 10
Lukas Šimkus 6 6 3 10 5 5 7 8 7 6 9 2 2 4 5 3
Mantas Kairys 9 6 10 8 6 6 5 3 1 9 2 3 5 6 9 5
Jonas Matulis 1 8 4 1 7 8 8 5 10 3 6 7 5 10 4 10
Ernestas Kairys 6 7 1 7 7 1 10 3 2 1 8 5 2 1 6 2
Lukas Zelvys 6 8 1 3 4 2 3 2 2 5 8 8 7 4 6 7
Simonas Bagdonas 10 7 5 8 8 4 1 1 3 8 1 6 9 4 7 5
Šarūnas Navickas 2 6 10 7 9 1 3 3 9 2 5 6 5 2 10 4
Deividas Kazlauskas 4 5 4 1 5 2 8 3 7 5 10 9 9 9 5 5
Saulius Balčiūnas 4 2 6 6 1 6 7 1 5 8 5 7 6 3 9 7
Mantas Juodka 5 7 5 4 6 4 7 3 8 4 8 3 1 3 4 10
Justinas Butkus 6 4 3 6 7 8 6 10 3 3 5 8 7 9 2 6
Ernestas Butkus 10 2 7 4 9 9 5 4 9 9 8 9 8 3 5 7
Ernestas Stankevičius 5 5 2 1 2 4 5 5 10 4 1 5 4 4 2 8
Laurynas Petrauskas 4 2 4 8 10 7 10 7 4 7 2 7 6 7 2 2
Arvydas Vaičiūnas 2 8 6 3 9 1 9 6 2 9 1 6 8 6 1 8
Paulius Misevičius 5 6 4 7 1 3 9 7 5 1 3 7 1 8 3 5
Aurimas Pocius 7 10 3 2 7 7 4 2 4 6 4 10 1 9 8 9
Mindaugas Morkūnas 9 8 2 7 3 2 2 8 8 2 8 8 7 10 7 4
Rokas Jankauskas 4 1 5 6 8 7 10 5 3 5 6 9 3 3 9 2
Ignas Jasinskas 8 3 10 10 6 6 1 10 7 1 3 4 1 6 7 2
Mantas Bagdonas 2 6 8 6 4 1 3 10 1 7 4 6 6 3 3 6
Rokas Butkus 10 10 5 6 4 8 3 3 3 4 4 6 3 2 9 7
Arvydas Rutkauskas 8 5 8 8 8 6 10 3 6 6 1 10 10 4 6 8
Laurynas Sakalauskas 8 8 10 4 5 9 4 7 7 2 4 7 1 7 2 1
Vilius Balsys 6 1 4 7 3 10 7 5 5 6 10 8 2 2 7 2
Saulius Urbonas 8 3 9 1 7 2 2 1 7 7 8 9 6 8 5 8
Edgaras Šimkus 2 8 5 4 3 7 8 9 4 5 8 3 2 5 1 10
